,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
13,ref-sifre-n.93.1.53-ref-sifre-n.93.1.58,ref-sifre-d.12.1.37-ref-sifre-d.12.2.1,130826,130863,20253,20258,ref-sifre-n.93.1.53,ref-sifre-n.93.1.58,15418,15455,2596,2601,ref-sifre-d.12.1.37,ref-sifre-d.12.2.1,טרחכם ומשאכם ורבכם לכך נאמר ונשאו ,לכך נאמר טרחכם ומשאכם וריבכם משאכם ,6,6,616,13,0.6285714285714286,0.2857142857142857
14,ref-sifre-n.61.1.215-ref-sifre-n.61.1.226,ref-sifre-d.13.3.37-ref-sifre-d.13.4.1,86712,86768,12925,12934,ref-sifre-n.61.1.215,ref-sifre-n.61.1.226,16185,16303,2732,2750,ref-sifre-d.13.3.37,ref-sifre-d.13.4.1,באים ואינם באים מן קשה כמראה אשר הראה ה' את משה להודיע ,שמביאים לראות רואה כשאין מביאים יושב ותוהה נבון דומה לשולחני תגר כשאין מביאים לו לראות מביא משלו ורואה וידועים ,12,19,451,14,0.6846846846846847,0.7777777777777778
15,ref-sifre-n.92.1.353-ref-sifre-n.92.1.360,ref-sifre-d.15.1.11-ref-sifre-d.15.1.18,130198,130246,20147,20154,ref-sifre-n.92.1.353,ref-sifre-n.92.1.360,17577,17620,2965,2971,ref-sifre-d.15.1.11,ref-sifre-d.15.1.18,בדברים תחילה אמור להם דברי שבח אשריכם שנתמניתם ,בדברים אמרתי להם אשריכם על מי באתם להתמנות ,8,8,615,15,0.5531914893617021,0.7272727272727273
18,ref-sifre-n.116.1.521-ref-sifre-n.116.1.531,ref-sifre-d.16.7.5-ref-sifre-d.16.7.23,180679,180727,28534,28542,ref-sifre-n.116.1.521,ref-sifre-n.116.1.531,19764,19858,3318,3334,ref-sifre-d.16.7.5,ref-sifre-d.16.7.23,"אין לי אלא בני קהת בני גרשון ובני מררי מנין ת""ל ","ובין גרו אין לי אלא בין איש לאשתו בין אשה לאיש בין אומה למשפחה בין משפחה לחבירתה מנין ת""ל ",11,19,810,18,0.6,0.8
19,ref-sifre-n.155.1.52-ref-sifre-n.155.1.66,ref-sifre-d.16.7.10-ref-sifre-d.16.7.23,273594,273661,43605,43615,ref-sifre-n.155.1.52,ref-sifre-n.155.1.66,19785,19858,3321,3334,ref-sifre-d.16.7.10,ref-sifre-d.16.7.23,"בינו לבינה מנין ת""ל אלה החקים אשר צוה ה' את משה בין איש לאשתו בין ","בין איש לאשתו בין אשה לאיש בין אומה למשפחה בין משפחה לחבירתה מנין ת""ל ",15,14,1247,19,0.6714285714285714,0.7333333333333334
20,ref-sifre-n.133.4.98-ref-sifre-n.133.4.103,ref-sifre-d.17.7.43-ref-sifre-d.17.7.48,239390,239417,37979,37983,ref-sifre-n.133.4.98,ref-sifre-n.133.4.103,21653,21680,3642,3646,ref-sifre-d.17.7.43,ref-sifre-d.17.7.48,ויקרב משה את משפטן לפני ה' ,ויקרב משה את משפטן לפני ה' ,6,6,1067,20,0.0,0.0
21,ref-sifre-n.12.1.116-ref-sifre-n.12.1.130,ref-sifre-d.19.2.79-ref-sifre-d.19.3.11,23868,23942,3616,3627,ref-sifre-n.12.1.116,ref-sifre-n.12.1.130,22981,23062,3861,3874,ref-sifre-d.19.2.79,ref-sifre-d.19.3.11,יתן ה' אותך לאלה ולשבועה בתוך עמך הרי שבועה אמורה הא מה תלמוד לומר ואמר ,הר האמורי אשר ה' אלהיך נותן לך ואם תאמרו ועדין לא הגיע זמן ראה נתן לך ה' אלהיך ,15,18,84,21,0.7721518987341772,0.7777777777777778
22,ref-sifre-n.82.1.224-ref-sifre-n.82.1.233,ref-sifre-d.20.2.22-ref-sifre-d.20.2.33,111413,111478,16971,16980,ref-sifre-n.82.1.224,ref-sifre-n.82.1.233,23499,23570,3936,3947,ref-sifre-d.20.2.22,ref-sifre-d.20.2.33,כשהייתם בארץ ערבה ושוחה זנתי ופרנסתי אתכם כשאתם נכנסים בארץ ,כשהייתם בארץ ערבה ושוחה לא בקשתם לכם מרגלים עכשיו שאתם נכנסתם לארץ ,10,12,588,22,0.3582089552238806,0.6923076923076923
23,ref-sifre-n.85.1.115-ref-sifre-n.85.1.146,ref-sifre-d.24.1.14-ref-sifre-d.24.1.31,118150,118324,18082,18105,ref-sifre-n.85.1.115,ref-sifre-n.85.1.146,25245,25342,4229,4244,ref-sifre-d.24.1.14,ref-sifre-d.24.1.31,כמתלהמים וכן הוא אומר משלי כו דברי נרגן כמתהלמים וכן הוא אומר דברים א ותרגנו באהליכם מהו כמתלהמים סכין ירדה מן השמים ובקעה את כריסם שנאמר משלי כו והם ירדו חדרי בטן ,כמתלהמים שנ' דברי נרגן כמתלהמים אבל סכין ירדה מן השמים ובקעה את כריסן שנא' והם ירדו חדרי בטן ,32,18,600,23,0.4573170731707317,0.4545454545454546
24,ref-sifre-n.105.1.392-ref-sifre-n.105.1.397,ref-sifre-d.26.1.1-ref-sifre-d.26.1.6,144186,144215,22522,22527,ref-sifre-n.105.1.392,ref-sifre-n.105.1.397,26740,26770,4470,4475,ref-sifre-d.26.1.1,ref-sifre-d.26.1.6,ואתחנן אל ה' בעת ההיא לאמר ,ואתחנן אל ה' בעת ההיא לאמור ,6,6,642,24,0.03571428571428571,0.0
