,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
850,ref-bible.0105.32.22.5-ref-bible.0105.32.22.14,ref-sifre-d.320.11.18-ref-sifre-d.320.12.9,406887,406943,67968,67977,ref-bible.105.32.22.5,ref-bible.105.32.22.14,332549,332619,55690,55701,ref-sifre-d.320.11.18,ref-sifre-d.320.12.9,ותיקד עד שאול תחתית ותאכל ארץ ויבלה ותלהט מוסדי הרים ,ותיקד עד שאול תחתית ותאכל ארץ ויבולה זו ארץ ישראל ותלהט מוסדי הרים ,10,13,850,1268,0.208955223880597,0.20895522388059706,0.208955223880597
851,ref-bible.0105.32.23.3-ref-bible.0105.32.24.4,ref-sifre-d.321.2.20-ref-sifre-d.321.4.4,406955,406990,67980,67987,ref-bible.105.32.23.3,ref-bible.105.32.24.4,332981,333154,55763,55797,ref-sifre-d.321.2.20,ref-sifre-d.321.4.4,רעות חצי אכלה בם מזי רעב ולחמי רשף ,"חצי אכלה בם חצי יכלו אותם אין כתיב אלא חצי אכלה בם שיהו חצי כלים והם אינן כלים ד""א חצי אכלה בם אלו חצי רעב וכן הוא אומר בשלחי את חצי הרעב הרעים בהם מזי רעב ולחומי רשף ",8,38,851,1271,0.8023952095808383,0.7904191616766467,0.8023952095808383
852,ref-bible.0105.32.23.4-ref-bible.0105.32.24.4,ref-sifre-d.321.3.2-ref-sifre-d.321.4.4,406960,406990,67981,67987,ref-bible.105.32.23.4,ref-bible.105.32.24.4,333066,333154,55782,55797,ref-sifre-d.321.3.2,ref-sifre-d.321.4.4,חצי אכלה בם מזי רעב ולחמי רשף ,חצי אכלה בם אלו חצי רעב וכן הוא אומר בשלחי את חצי הרעב הרעים בהם מזי רעב ולחומי רשף ,7,19,852,1272,0.6428571428571429,0.6428571428571428,0.6428571428571429
853,ref-bible.0105.32.24.1-ref-bible.0105.32.24.4,ref-sifre-d.342.1.11-ref-sifre-d.342.1.14,406972,406990,67984,67987,ref-bible.105.32.24.1,ref-bible.105.32.24.4,351992,352011,59033,59036,ref-sifre-d.342.1.11,ref-sifre-d.342.1.14,מזי רעב ולחמי רשף ,מזי רעב ולחומי רשף ,4,4,853,1368,0.05263157894736842,0.052631578947368474,0.05263157894736842
854,ref-bible.0105.32.24.12-ref-bible.0105.32.25.5,ref-sifre-d.342.1.13-ref-sifre-d.342.1.19,407025,407066,67995,68002,ref-bible.105.32.24.12,ref-bible.105.32.25.5,352000,352040,59035,59041,ref-sifre-d.342.1.13,ref-sifre-d.342.1.19,חמת זחלי עפר מחוץ תשכל חרב ומחדרים אימה ,ולחומי רשף מחוץ תשכל חרב ומחדרים אימה ,8,7,854,1369,0.25,0.2272727272727273,0.175
855,ref-bible.0105.32.25.6-ref-bible.0105.32.25.13,ref-sifre-d.321.13.1-ref-sifre-d.321.14.4,407067,407100,68003,68010,ref-bible.105.32.25.6,ref-bible.105.32.25.13,334099,334145,55959,55968,ref-sifre-d.321.13.1,ref-sifre-d.321.14.4,גם בחור גם בתולה יונק עם איש שיבה ,גם בחור גם בתולה הותרה לאלו יונק עם איש שיבה ,8,10,855,1280,0.24444444444444444,0.24444444444444446,0.24444444444444444
856,ref-bible.0105.32.29.1-ref-bible.0105.32.30.7,ref-sifre-d.322.13.10-ref-sifre-d.323.1.4,407243,407312,68040,68052,ref-bible.105.32.29.1,ref-bible.105.32.30.7,336439,336545,56377,56396,ref-sifre-d.322.13.10,ref-sifre-d.323.1.4,לו חכמו ישכילו זאת יבינו לאחריתם איכה ירדף אחד אלף ושנים יניסו רבבה ,אחד רודף ממנו אלף ושנים יניסו רבבה לימות המשיח אחד מישראל רודף ממנו אלף ושנים רבבה לו חכמו ישכילו זאת ,13,20,856,1294,0.6764705882352942,0.3653846153846154,0.6176470588235294
857,ref-bible.0105.32.30.2-ref-bible.0105.32.30.12,ref-sifre-d.322.11.12-ref-sifre-d.322.11.22,407282,407331,68047,68056,ref-bible.105.32.30.2,ref-bible.105.32.30.12,336278,336329,56348,56357,ref-sifre-d.322.11.12,ref-sifre-d.322.11.22,ירדף אחד אלף ושנים יניסו רבבה אם לא כי צורם מכרם ,רודף מן האומות אלף ושנים רבבות אם לא כי צורם מכרם ,11,11,857,1293,0.36,0.26315789473684215,0.22
858,ref-bible.0105.32.30.2-ref-bible.0105.32.30.14,ref-sifre-d.323.2.17-ref-sifre-d.323.3.7,407282,407345,68047,68058,ref-bible.105.32.30.2,ref-bible.105.32.30.14,336796,336908,56439,56459,ref-sifre-d.323.2.17,ref-sifre-d.323.3.7,ירדף אחד אלף ושנים יניסו רבבה אם לא כי צורם מכרם ויהוה הסגירם ,אחד מכם רודף אלף ושנים יניסו רבבה עכשיו אחד מן האומות רודף אלף ושנים יניסו רבבה אם לא כי צורם מכרם וה' הסגירם ,13,23,858,1295,0.4909090909090909,0.4363636363636364,0.4727272727272727
859,ref-bible.0105.32.30.8-ref-bible.0105.32.31.4,ref-sifre-d.323.3.102-ref-sifre-d.323.4.4,407313,407364,68053,68061,ref-bible.105.32.30.8,ref-bible.105.32.31.4,337417,337466,56547,56555,ref-sifre-d.323.3.102,ref-sifre-d.323.4.4,אם לא כי צורם מכרם ויהוה הסגירם כי לא כצורנו צורם ,אם לא כי צורם מכרם וה' הסגירם כי לא כצורינו צורם ,11,11,859,1297,0.08,0.05882352941176472,0.06
860,ref-bible.0105.32.31.5-ref-bible.0105.32.32.4,ref-sifre-d.323.5.24-ref-sifre-d.323.6.4,407365,407398,68062,68067,ref-bible.105.32.31.5,ref-bible.105.32.32.4,337718,337757,56601,56607,ref-sifre-d.323.5.24,ref-sifre-d.323.6.4,ואיבינו פלילים כי מגפן סדם גפנם ,אויבים עדים ודיינים כי מגפן סדום גפנם ,6,7,860,1298,0.34210526315789475,0.29268292682926833,0.3157894736842105
861,ref-bible.0105.32.33.1-ref-bible.0105.32.33.6,ref-sifre-d.323.10.1-ref-sifre-d.323.10.11,407442,407473,68076,68081,ref-bible.105.32.33.1,ref-bible.105.32.33.6,338156,338227,56677,56687,ref-sifre-d.323.10.1,ref-sifre-d.323.10.11,חמת תנינם יינם וראש פתנים אכזר ,חמת תנינים יינם שהחסידים והכשרים שבכם חמתן כתנינים וראש פתנים אכזר ,6,11,861,1301,0.5373134328358209,0.5373134328358209,0.5373134328358209
862,ref-bible.0105.32.33.1-ref-bible.0105.32.33.6,ref-sifre-d.323.11.2-ref-sifre-d.323.11.13,407442,407473,68076,68081,ref-bible.105.32.33.1,ref-bible.105.32.33.6,338270,338340,56695,56706,ref-sifre-d.323.11.2,ref-sifre-d.323.11.13,חמת תנינם יינם וראש פתנים אכזר ,חמת תנינים יינם המתונים יראי חטא שבכם חמתם כתנינים וראש פתנים אכזר ,6,12,862,1302,0.5373134328358209,0.5373134328358209,0.5373134328358209
863,ref-bible.0105.32.38.8-ref-bible.0105.32.38.12,ref-sifre-d.328.4.1-ref-sifre-d.328.4.5,407700,407729,68127,68131,ref-bible.105.32.38.8,ref-bible.105.32.38.12,342198,342227,57373,57377,ref-sifre-d.328.4.1,ref-sifre-d.328.4.5,יקומו ויעזרכם יהי עליכם סתרה ,יקומו ויעזרכם יהי עליכם סתרה ,5,5,863,1319,0.0,0.0,0.0
864,ref-bible.0105.32.39.4-ref-bible.0105.32.39.12,ref-sifre-d.329.1.51-ref-sifre-d.329.2.4,407741,407785,68135,68143,ref-bible.105.32.39.4,ref-bible.105.32.39.12,342692,342742,57464,57472,ref-sifre-d.329.1.51,ref-sifre-d.329.2.4,אני אני הוא ואין אלהים עמדי אני אמית ואחיה ,"ואני אחרון ומבלעדי אין אלהים ד""א אני אמית ואחיה ",9,9,864,1323,0.3541666666666667,0.21568627450980393,0.2708333333333333
