,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,baseWork
60,ref-mek.1.10.1.1-ref-mek.1.10.1.9,ref-sifra.12.12-00.4.1-ref-sifra.12.12-00.4.17,33051,33108,5184,5192,ref-mek.1.10.1.1,ref-mek.1.10.1.9,592186,592287,89997,90013,ref-sifra.12.12-00.4.1,ref-sifra.12.12-00.4.17,ביום הראשון מקרא קדש כבדהו במאכל ובמשתה ובכסות נקייה ,ביום הראשון מקרא קדש קדשהו וביום השמיני מקרא קדש קדשהו במה אתה מקדשו במאכל ובמשתה ובכסות נקיה ,ref-sifra
61,ref-mek.1.10.1.17-ref-mek.1.10.1.31,ref-sifra.12.09-00.5.9-ref-sifra.12.09-00.5.15,33143,33215,5194,5204,ref-mek.1.10.1.17,ref-mek.1.10.1.31,573504,573536,87243,87249,ref-sifra.12.9-00.5.9,ref-sifra.12.9-00.5.15,שהם קרויין מקרא קדש חולו_של_מועד מנין_תלמוד_לומר אלה מועדי ה' אשר תקראו ,מועדי ה' אשר תקראו אתם מקראי קדש ,ref-mek
62,ref-mek.1.10.1.18-ref-mek.1.10.1.32,ref-sifra.12.12-00.7.7-ref-sifra.12.12-00.7.14,33148,33220,5195,5205,ref-mek.1.10.1.18,ref-mek.1.10.1.32,592502,592539,90042,90049,ref-sifra.12.12-00.7.7,ref-sifra.12.12-00.7.14,קרויין מקרא קדש חולו_של_מועד מנין_תלמוד_לומר אלה מועדי ה' אשר תקראו אותם ,אלה מועדי ה' אשר תקראו אותם מקראי קדש ,ref-mek
63,ref-mek.1.10.1.18-ref-mek.1.10.1.32,ref-sifra.12.12-00.7.66-ref-sifra.12.12-00.7.73,33148,33220,5195,5205,ref-mek.1.10.1.18,ref-mek.1.10.1.32,592812,592849,90085,90092,ref-sifra.12.12-00.7.66,ref-sifra.12.12-00.7.73,קרויין מקרא קדש חולו_של_מועד מנין_תלמוד_לומר אלה מועדי ה' אשר תקראו אותם ,תקראו אותם מקראי קדש אלא אלו ימי מועד ,ref-mek
64,ref-mek.1.10.1.27-ref-mek.1.10.1.34,ref-sifra.12.12-00.7.7-ref-sifra.12.12-00.7.14,33193,33231,5200,5207,ref-mek.1.10.1.27,ref-mek.1.10.1.34,592502,592539,90042,90049,ref-sifra.12.12-00.7.7,ref-sifra.12.12-00.7.14,אלה מועדי ה' אשר תקראו אותם מקראי קודש ,אלה מועדי ה' אשר תקראו אותם מקראי קדש ,ref-sifra
65,ref-mek.1.10.1.27-ref-mek.1.10.1.34,ref-sifra.12.12-00.7.66-ref-sifra.12.12-00.7.73,33193,33231,5200,5207,ref-mek.1.10.1.27,ref-mek.1.10.1.34,592812,592849,90085,90092,ref-sifra.12.12-00.7.66,ref-sifra.12.12-00.7.73,אלה מועדי ה' אשר תקראו אותם מקראי קודש ,תקראו אותם מקראי קדש אלא אלו ימי מועד ,ref-sifra
66,ref-mek.1.10.1.28-ref-mek.1.10.1.32,ref-sifra.12.09-00.6.15-ref-sifra.12.09-00.6.21,33197,33220,5201,5205,ref-mek.1.10.1.28,ref-mek.1.10.1.32,573613,573646,87260,87266,ref-sifra.12.9-00.6.15,ref-sifra.12.9-00.6.21,מועדי ה' אשר תקראו אותם ,מועדי ה' מקראי קדש אשר תקראו אותם ,ref-mek
67,ref-mek.1.10.1.28-ref-mek.1.10.1.32,ref-sifra.12.09-10.6.28-ref-sifra.12.09-10.6.32,33197,33220,5201,5205,ref-mek.1.10.1.28,ref-mek.1.10.1.32,574968,574990,87458,87462,ref-sifra.12.9-10.6.28,ref-sifra.12.9-10.6.32,מועדי ה' אשר תקראו אותם ,מועדי ה' אשר תקראו אתם ,ref-mek
68,ref-mek.1.10.1.28-ref-mek.1.10.1.32,ref-sifra.12.09-10.6.28-ref-sifra.12.09-10.6.32,33197,33220,5201,5205,ref-mek.1.10.1.28,ref-mek.1.10.1.32,574968,574990,87458,87462,ref-sifra.12.9-10.6.28,ref-sifra.12.9-10.6.32,מועדי ה' אשר תקראו אותם ,מועדי ה' אשר תקראו אתם ,ref-sifra
69,ref-mek.1.10.1.28-ref-mek.1.10.1.33,ref-sifra.12.09-00.6.15-ref-sifra.12.09-00.6.21,33197,33226,5201,5206,ref-mek.1.10.1.28,ref-mek.1.10.1.33,573613,573646,87260,87266,ref-sifra.12.9-00.6.15,ref-sifra.12.9-00.6.21,מועדי ה' אשר תקראו אותם מקראי ,מועדי ה' מקראי קדש אשר תקראו אותם ,ref-sifra
70,ref-mek.1.10.1.28-ref-mek.1.10.1.34,ref-sifra.12.09-00.5.9-ref-sifra.12.09-00.5.15,33197,33231,5201,5207,ref-mek.1.10.1.28,ref-mek.1.10.1.34,573504,573536,87243,87249,ref-sifra.12.9-00.5.9,ref-sifra.12.9-00.5.15,מועדי ה' אשר תקראו אותם מקראי קודש ,מועדי ה' אשר תקראו אתם מקראי קדש ,ref-sifra
71,ref-mek.1.10.1.238-ref-mek.1.10.1.281,ref-sifra.5.06-00.11.8-ref-sifra.5.06-00.11.26,34306,34519,5353,5384,ref-mek.1.10.1.238,ref-mek.1.10.1.281,284492,284590,42030,42046,ref-sifra.5.6-00.11.8,ref-sifra.5.6-00.11.26,ולא יעשה חברך ולא יעשה גוי מלאכתך אתה_אומר_כן_או_אינו לא תעשה אתה ולא חברך ויעשה גוי מלאכתך תלמוד_לומר_ששת ימים תעשה מלאכה וגו' הא למדת וכל_מלאכה_לא_יעשה_בהם לא תעשה אתה ולא יעשה חברך ולא יעשה הגוי מלאכתך ,נעשה בהם מלאכה תלמוד_לומר_אשר יעשה בהם מלאכה אוציא עור המצה ועור האיפה שלא נעשה בהם מלאכה ולא ,ref-mek
72,ref-mek.1.10.1.241-ref-mek.1.10.1.263,ref-sifra.5.06-00.11.7-ref-sifra.5.06-00.11.25,34321,34432,5356,5371,ref-mek.1.10.1.241,ref-mek.1.10.1.263,284487,284585,42029,42045,ref-sifra.5.6-00.11.7,ref-sifra.5.6-00.11.25,ולא יעשה גוי מלאכתך אתה_אומר_כן_או_אינו לא תעשה אתה ולא חברך ויעשה גוי מלאכתך תלמוד_לומר_ששת ימים תעשה מלאכה ,שלא נעשה בהם מלאכה תלמוד_לומר_אשר יעשה בהם מלאכה אוציא עור המצה ועור האיפה שלא נעשה בהם מלאכה ,ref-sifra
73,ref-mek.1.10.2.178-ref-mek.1.10.2.190,ref-sifra.12.12-00.4.1-ref-sifra.12.12-00.4.9,36766,36838,5707,5717,ref-mek.1.10.2.178,ref-mek.1.10.2.190,592186,592238,89997,90005,ref-sifra.12.12-00.4.1,ref-sifra.12.12-00.4.9,ויום הראשון ויום האחרון קרויין מקרא קדש וחולו_של_מועד קרוי מקרא קדש ,ביום הראשון מקרא קדש קדשהו וביום השמיני מקרא קדש ,ref-sifra
74,ref-mek.1.10.2.178-ref-mek.1.10.2.212,ref-sifra.12.12-00.7.55-ref-sifra.12.12-00.7.69,36766,36950,5707,5731,ref-mek.1.10.2.178,ref-mek.1.10.2.212,592752,592832,90078,90088,ref-sifra.12.12-00.7.55,ref-sifra.12.12-00.7.69,ויום הראשון ויום האחרון קרויין מקרא קדש וחולו_של_מועד קרוי מקרא קדש ויום_טוב_הראשון והאחרון הרי הן אסורין משום שבות חולו_של_מועד שהוא קרוי מקרא קדש אינו_דין_שיהא_אסור משום שבות ,ביום הראשון שבתון וביום השמיני שבתון אם_כן_למה_נאמר_אשר תקראו אותם מקראי קדש ,ref-mek
75,ref-mek.1.10.2.190-ref-mek.1.10.2.217,ref-sifra.12.12-00.7.55-ref-sifra.12.12-00.7.69,36835,36981,5717,5735,ref-mek.1.10.2.190,ref-mek.1.10.2.217,592752,592832,90078,90088,ref-sifra.12.12-00.7.55,ref-sifra.12.12-00.7.69,קדש ויום_טוב_הראשון והאחרון הרי הן אסורין משום שבות חולו_של_מועד שהוא קרוי מקרא קדש אינו_דין_שיהא_אסור משום שבות תלמוד לומר ביום הראשון שבתון ,ביום הראשון שבתון וביום השמיני שבתון אם_כן_למה_נאמר_אשר תקראו אותם מקראי קדש ,ref-sifra
76,ref-mek.1.12.1.74-ref-mek.1.12.1.80,ref-sifra.11.03-07.12.11-ref-sifra.11.03-07.12.20,40357,40395,6240,6245,ref-mek.1.12.1.74,ref-mek.1.12.1.80,505405,505454,77071,77080,ref-sifra.11.3-07.12.11,ref-sifra.11.3-07.12.20,לזקנים שנאמר לך ואספת את זקני ישראל ,זקן אלא חכם שנאמר אספה לי שבעים איש מזקני ישראל ,ref-mek
