חילוק,ref-sifre-n.1.2.199
הארץ,ref-sifre-n.1.2.200
ורבי,ref-sifre-n.1.2.201
אומר,ref-sifre-n.1.2.202
אין,ref-sifre-n.1.2.203
צווי,ref-sifre-n.1.2.204
בכל,ref-sifre-n.1.2.205
מקום,ref-sifre-n.1.2.206
אלא,ref-sifre-n.1.2.207
אזהרה,ref-sifre-n.1.2.208
שנא׳,ref-sifre-n.1.2.209
ויצו,ref-sifre-n.1.2.210
ה׳,ref-sifre-n.1.2.211
אלהים,ref-sifre-n.1.2.212
על,ref-sifre-n.1.2.213
האדם,ref-sifre-n.1.2.214
וגו׳,ref-sifre-n.1.2.215
ומעץ,ref-sifre-n.1.2.216
הדעת,ref-sifre-n.1.2.217
טוב,ref-sifre-n.1.2.218
ורע,ref-sifre-n.1.2.219
לא,ref-sifre-n.1.2.220
תאכל,ref-sifre-n.1.2.221
ממנו,ref-sifre-n.1.2.222
וישלחו,ref-sifre-n.1.3.1
מן,ref-sifre-n.1.3.2
המחנה,ref-sifre-n.1.3.3
מחנה,ref-sifre-n.1.3.4
שכינה,ref-sifre-n.1.3.5
שומע,ref-sifre-n.1.3.6
אני,ref-sifre-n.1.3.7
ממחנה,ref-sifre-n.1.3.8
לויה,ref-sifre-n.1.3.9
תלמוד,ref-sifre-n.1.3.10
לומר,ref-sifre-n.1.3.11
אל,ref-sifre-n.1.3.12
מחוץ,ref-sifre-n.1.3.13
למחנה,ref-sifre-n.1.3.14
תשלחום,ref-sifre-n.1.3.15
הא,ref-sifre-n.1.3.16
עד,ref-sifre-n.1.3.17
שלא,ref-sifre-n.1.3.18
יאמר,ref-sifre-n.1.3.19
יש,ref-sifre-n.1.3.20
לי,ref-sifre-n.1.3.21
בדין,ref-sifre-n.1.3.22
אם,ref-sifre-n.1.3.23
נדחו,ref-sifre-n.1.3.24
טמאים,ref-sifre-n.1.3.25
ממחנה,ref-sifre-n.1.3.26
ארון,ref-sifre-n.1.3.27
הקל,ref-sifre-n.1.3.28
קל,ref-sifre-n.1.3.29
וחומר,ref-sifre-n.1.3.30
ממחנה,ref-sifre-n.1.3.31
שכינה,ref-sifre-n.1.3.32
החמור,ref-sifre-n.1.3.33
אלא,ref-sifre-n.1.3.34
אם,ref-sifre-n.1.3.35
אמרת,ref-sifre-n.1.3.36
כן,ref-sifre-n.1.3.37
ענשת,ref-sifre-n.1.3.38
מן,ref-sifre-n.1.3.39
הדין,ref-sifre-n.1.3.40
לכך,ref-sifre-n.1.3.41
נאמר,ref-sifre-n.1.3.42
וישלחו,ref-sifre-n.1.3.43
מן,ref-sifre-n.1.3.44
המחנה,ref-sifre-n.1.3.45
ללמדך,ref-sifre-n.1.3.46
שאין,ref-sifre-n.1.3.47
עונשין,ref-sifre-n.1.3.48
מן,ref-sifre-n.1.3.49
הדין,ref-sifre-n.1.3.50
רבי,ref-sifre-n.1.3.51
אומר,ref-sifre-n.1.3.52
אין,ref-sifre-n.1.3.53
צריך,ref-sifre-n.1.3.54
קל,ref-sifre-n.1.3.55
וחומר,ref-sifre-n.1.3.56
אם,ref-sifre-n.1.3.57
נדחו,ref-sifre-n.1.3.58
טמאים,ref-sifre-n.1.3.59
ממחנה,ref-sifre-n.1.3.60
ארון,ref-sifre-n.1.3.61
הקל,ref-sifre-n.1.3.62
קל,ref-sifre-n.1.3.63
וחומר,ref-sifre-n.1.3.64
ממחנה,ref-sifre-n.1.3.65
שכינה,ref-sifre-n.1.3.66
החמור,ref-sifre-n.1.3.67
אם,ref-sifre-n.1.3.68
כן,ref-sifre-n.1.3.69
למה,ref-sifre-n.1.3.70
נאמר,ref-sifre-n.1.3.71
וישלחו,ref-sifre-n.1.3.72
מן,ref-sifre-n.1.3.73
המחנה,ref-sifre-n.1.3.74
כל,ref-sifre-n.1.3.75
צרוע,ref-sifre-n.1.3.76
וכל,ref-sifre-n.1.3.77
זב,ref-sifre-n.1.3.78
אלא,ref-sifre-n.1.3.79
בא,ref-sifre-n.1.3.80
הכתוב,ref-sifre-n.1.3.81
ליתן,ref-sifre-n.1.3.82
להם,ref-sifre-n.1.3.83
את,ref-sifre-n.1.3.84
