ref-Sifra.1.10.45,ופרט
ref-Sifra.1.10.46,שהוא
ref-Sifra.1.10.47,צריך
ref-Sifra.1.10.48,לכלל
ref-Sifra.1.11.1,כל_דבר_שהיה_בכלל_ויצא_מן
ref-Sifra.1.11.7,הכלל
ref-Sifra.1.11.8,ללמד
ref-Sifra.1.11.9,לא
ref-Sifra.1.11.10,ללמד
ref-Sifra.1.11.11,על
ref-Sifra.1.11.12,עצמו
ref-Sifra.1.11.13,יצא
ref-Sifra.1.11.14,אלא
ref-Sifra.1.11.15,ללמד
ref-Sifra.1.11.16,על
ref-Sifra.1.11.17,הכלל
ref-Sifra.1.11.18,כלו
ref-Sifra.1.11.19,יצא
ref-Sifra.1.11.20,כיצד
ref-Sifra.1.11.21,והנפש
ref-Sifra.1.11.22,אשר
ref-Sifra.1.11.23,תאכל
ref-Sifra.1.11.24,בשר
ref-Sifra.1.11.25,מזבח
ref-Sifra.1.11.26,השלמים
ref-Sifra.1.11.27,אשר
ref-Sifra.1.11.28,ליי׳
ref-Sifra.1.11.29,וטמאתו
ref-Sifra.1.11.30,עליו
ref-Sifra.1.11.31,ונכרתה
ref-Sifra.1.11.32,הנפש
ref-Sifra.1.11.33,ההיא
ref-Sifra.1.11.34,והלא
ref-Sifra.1.11.35,שלמים
ref-Sifra.1.11.36,בכלל
ref-Sifra.1.11.37,כל
ref-Sifra.1.11.38,הקדשים
ref-Sifra.1.11.39,היו
ref-Sifra.1.11.40,דכתיב
ref-Sifra.1.11.41,זאת
ref-Sifra.1.11.42,התורה
ref-Sifra.1.11.43,לעולה
ref-Sifra.1.11.44,ולמנחה
ref-Sifra.1.11.45,לחטאת
ref-Sifra.1.11.46,ולאשם
ref-Sifra.1.11.47,ולמלוא׳
ref-Sifra.1.11.48,ולזבח
ref-Sifra.1.11.49,השלמים
ref-Sifra.1.11.50,וכשיצאו
ref-Sifra.1.11.51,מן
ref-Sifra.1.11.52,הכלל
ref-Sifra.1.11.53,ללמד
ref-Sifra.1.11.54,לא
ref-Sifra.1.11.55,ללמד
ref-Sifra.1.11.56,על
ref-Sifra.1.11.57,עצמן
ref-Sifra.1.11.58,יצאו
ref-Sifra.1.11.59,אלא
ref-Sifra.1.11.60,ללמד
ref-Sifra.1.11.61,על
ref-Sifra.1.11.62,הכלל
ref-Sifra.1.11.63,כלו
ref-Sifra.1.11.64,יצאו׳
ref-Sifra.1.11.65,לומ׳
ref-Sifra.1.11.66,לך
ref-Sifra.1.11.67,מה
ref-Sifra.1.11.68,שלמים
ref-Sifra.1.11.69,מיוחדין
ref-Sifra.1.11.70,קדשי׳
ref-Sifra.1.11.71,שקדושתן
ref-Sifra.1.11.72,קדושת
ref-Sifra.1.11.73,מזבח׳
ref-Sifra.1.11.74,אף_אין_לי_אלא
ref-Sifra.1.11.78,כל
ref-Sifra.1.11.79,דבר
ref-Sifra.1.11.80,שקדושתו
ref-Sifra.1.11.81,קדושת
ref-Sifra.1.11.82,מזבח
ref-Sifra.1.11.83,יצאו
ref-Sifra.1.11.84,קדשי
ref-Sifra.1.11.85,בדק
ref-Sifra.1.11.86,הבית
ref-Sifra.1.12.1,כל_דבר_שהיה_בכלל_ויצא_מן
ref-Sifra.1.12.7,הכלל
ref-Sifra.1.12.8,לטעון
ref-Sifra.1.12.9,טען
ref-Sifra.1.12.10,אחר
ref-Sifra.1.12.11,שהוא
ref-Sifra.1.12.12,כענינו
ref-Sifra.1.12.13,יצא
ref-Sifra.1.12.14,להקל
ref-Sifra.1.12.15,ולא
ref-Sifra.1.12.16,להחמיר
ref-Sifra.1.12.17,כיצד
ref-Sifra.1.12.18,ובשר
ref-Sifra.1.12.19,כי_יהיה_בו
ref-Sifra.1.12.22,בעורו
ref-Sifra.1.12.23,שחין
ref-Sifra.1.12.24,ונרפא
ref-Sifra.1.12.25,וכתיב
ref-Sifra.1.12.26,או
ref-Sifra.1.12.27,בשר
ref-Sifra.1.12.28,כי
ref-Sifra.1.12.29,יהיה
ref-Sifra.1.12.30,בעורו
ref-Sifra.1.12.31,
ref-Sifra.1.12.32,אש
ref-Sifra.1.12.33,והלא
ref-Sifra.1.12.34,השחין
ref-Sifra.1.12.35,והמכוה
ref-Sifra.1.12.36,בכלל
ref-Sifra.1.12.37,כל
ref-Sifra.1.12.38,הננעים
ref-Sifra.1.12.39,היו
ref-Sifra.1.12.40,וכשיצאו
ref-Sifra.1.12.41,מן
ref-Sifra.1.12.42,הכלל
ref-Sifra.1.12.43,ליטעון
ref-Sifra.1.12.44,טען
ref-Sifra.1.12.45,אחד
ref-Sifra.1.12.46,שהוא
ref-Sifra.1.12.47,כענינו
ref-Sifra.1.12.48,יצאו
ref-Sifra.1.12.49,להקל
ref-Sifra.1.12.50,ולא
ref-Sifra.1.12.51,להחמיר
ref-Sifra.1.12.52,להקל
ref-Sifra.1.12.53,עליהן
ref-Sifra.1.12.54,שלא
ref-Sifra.1.12.55,ידונו
ref-Sifra.1.12.56,במחיה
ref-Sifra.1.12.57,ושלא
ref-Sifra.1.12.58,ידונו
ref-Sifra.1.12.59,אלא
ref-Sifra.1.12.60,בשבוע
ref-Sifra.1.12.61,אחד
ref-Sifra.1.13.1,כל_דבר_שהיה_בכלל_ויצא_מן
ref-Sifra.1.13.7,הכלל
ref-Sifra.1.13.8,לטען
ref-Sifra.1.13.9,טען
ref-Sifra.1.13.10,אחד
ref-Sifra.1.13.11,שלא
ref-Sifra.1.13.12,כענינו
ref-Sifra.1.13.13,יצא
ref-Sifra.1.13.14,להקל
ref-Sifra.1.13.15,ולהחמיר
ref-Sifra.1.13.16,כיצד
ref-Sifra.1.13.17,ואיש
ref-Sifra.1.13.18,או_אשה_כי_יהיה_בו
ref-Sifra.1.13.23,נגע
ref-Sifra.1.13.24,בראש
ref-Sifra.1.13.25,או
ref-Sifra.1.13.26,בזקן
ref-Sifra.1.13.27,והלא
ref-Sifra.1.13.28,׳הראש
ref-Sifra.1.13.29,והזקן׳
