,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
1785,ref-b.2.11.9a.184-ref-b.2.11.9a.198,ref-bible.0101.1.27.1-ref-bible.0101.1.27.12,2450491,2450581,356442,356456,ref-b.00002.00011.0009a.00184,ref-b.00002.00011.0009a.00198,1826,1889,297,307,ref-bible.00101.00001.00027.00001,ref-bible.00101.00001.00027.00012,ברא בראשית אעשה אדם בצלם ובדמות ויכל ביום הששי וישבות ביום השביעי זכר ונקבה בראו ,ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא ,ref-bible
1786,ref-b.2.11.9a.217-ref-b.2.11.9a.228,ref-bible.0102.4.20.1-ref-bible.0102.4.20.10,2450678,2450737,356475,356483,ref-b.00002.00011.0009a.00217,ref-b.00002.00011.0009a.00228,112421,112471,20055,20062,ref-bible.00102.00004.00020.00001,ref-bible.00102.00004.00020.00010,ויקח_משה_את אשתו ואת בניו וירכיבם על נושא בני אדם ומושב ,ויקח_משה_את אשתו ואת בניו וירכבם על החמר וישב ,ref-bible
1787,ref-b.2.11.9a.256-ref-b.2.11.9a.267,ref-bible.0205.9.6.14-ref-bible.0205.9.7.10,2450873,2450937,356502,356513,ref-b.00002.00011.0009a.00256,ref-b.00002.00011.0009a.00267,673148,673239,113831,113843,ref-bible.00205.00009.00006.00014,ref-bible.00205.00009.00007.00010,אשר חלק ה' אלהיך אתם להאיר לכל העמים וילך ויעבוד אלהים אחרים ,והלכתם ועבדתם אלהים אחרים והשתחויתם להם והכרתי את ישראל מעל_פני_האדמה אשר נתתי להם ואת ,ref-bible
1788,ref-b.2.11.9a.256-ref-b.2.11.9a.267,ref-bible.0313.7.19.10-ref-bible.0313.7.20.7,2450873,2450937,356502,356513,ref-b.00002.00011.0009a.00256,ref-b.00002.00011.0009a.00267,1530505,1530584,262672,262684,ref-bible.00313.00007.00019.00010,ref-bible.00313.00007.00020.00007,אשר חלק ה' אלהיך אתם להאיר לכל העמים וילך ויעבוד אלהים אחרים ,והלכתם ועבדתם אלהים אחרים והשתחויתם להם ונתשתים מעל אדמתי אשר נתתי להם ואת ,ref-bible
1789,ref-b.2.11.9b.22-ref-b.2.11.9b.27,ref-bible.0101.9.27.1-ref-bible.0101.9.27.6,2451200,2451232,356551,356556,ref-b.00002.00011.0009b.00022,ref-b.00002.00011.0009b.00027,15713,15745,2701,2706,ref-bible.00101.00009.00027.00001,ref-bible.00101.00009.00027.00006,יפת אלהים ליפת וישכן באהלי שם ,יפת אלהים ליפת וישכן באהלי שם ,ref-bible
1790,ref-b.2.11.10a.30-ref-b.2.11.10a.36,ref-bible.0105.12.9.3-ref-bible.0105.12.9.9,2452516,2452550,356730,356735,ref-b.00002.00011.0010a.00030,ref-b.00002.00011.0010a.00036,365963,365997,61163,61168,ref-bible.00105.00012.00009.00003,ref-bible.00105.00012.00009.00009,באתם עד עתה אל המנוחה ואל הנחלה ,באתם עד עתה אל המנוחה ואל הנחלה ,ref-bible
1791,ref-b.2.11.10a.242-ref-b.2.11.10a.253,ref-bible.0105.3.4.14-ref-bible.0105.3.5.6,2453656,2453715,356877,356888,ref-b.00002.00011.0010a.00242,ref-b.00002.00011.0010a.00253,344251,344316,57693,57706,ref-bible.00105.00003.00004.00014,ref-bible.00105.00003.00005.00006,ששים עיר כל חבל ארגוב וכתיב כל אלה ערים בצורות חומה גבוהה ,ששים עיר כל חבל ארגב ממלכת עוג בבשן כל אלה ערים בצרות חומה גבהה ,ref-bible
1792,ref-b.2.11.10b.67-ref-b.2.11.10b.72,ref-bible.0305.1.1.1-ref-bible.0305.1.1.6,2454329,2454362,356960,356965,ref-b.00002.00011.0010b.00067,ref-b.00002.00011.0010b.00072,1342202,1342235,230412,230417,ref-bible.00305.00001.00001.00001,ref-bible.00305.00001.00001.00006,ויהי בימי שפוט השופטים הוה רעב ,ויהי בימי שפט השפטים ויהי רעב ,ref-bible
1793,ref-b.2.11.10b.96-ref-b.2.11.10b.102,ref-bible.0201.5.13.1-ref-bible.0201.5.13.14,2454478,2454523,356989,356995,ref-b.00002.00011.0010b.00096,ref-b.00002.00011.0010b.00102,419949,420031,70169,70180,ref-bible.00201.00005.00013.00001,ref-bible.00201.00005.00013.00014,ויהי בהיות יהושע ביריחו וחרבו שלופה בידו ,ויהי בהיות יהושע ביריחו וישא עיניו_וירא_והנה איש עמד לנגדו וחרבו שלופה בידו ,ref-bible
1794,ref-b.2.11.10b.115-ref-b.2.11.10b.121,ref-bible.0203.1.5.6-ref-bible.0203.1.5.12,2454585,2454611,357005,357010,ref-b.00002.00011.0010b.00115,ref-b.00002.00011.0010b.00121,518005,518034,86665,86670,ref-bible.00203.00001.00005.00006,ref-bible.00203.00001.00005.00012,כי את חנה אהב וה' סגר רחמה ,כי את חנה אהב ויהוה סגר רחמה ,ref-bible
