lemma,pointer_in_volume,provenance
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-35,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-36,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-37,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-38,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-39,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-40,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-41,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-42,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-43,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-44,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-45,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-46,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-47,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-48,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-49,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-50,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-51,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-52,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-53,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-54,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-55,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-56,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-57,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-58,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-59,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-60,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-61,[Palestine?] 
 אבאAbba,Vol-2-Vol-1-ADD-P_M-Persian-Males-Abba-1,[Palestine?] 
 אבאAbba,Vol-2-Vol-1-ADD-P_M-Persian-Males-Abba-2,[Palestine?] 
 אבאAbba,Vol-3-S-H_M-Semitic-Hebrew-Males-Abba-1,North Africa 
 אבאAbba,Vol-3-S-H_M-Semitic-Hebrew-Males-Abba-2,Egypt 
 אבאAbba,Vol-3-S-H_M-Semitic-Hebrew-Males-Abba-3,Egypt 
 אבאAbba,Vol-3-S-H_M-Semitic-Hebrew-Males-Abba-4,Rome 
 אבאAbba,Vol-3-S-H_M-Semitic-Hebrew-Males-Abba-5,Rome 
 אבאAbba,Vol-3-S-H_M-Semitic-Hebrew-Males-Abba-6,Asia 
 אבאAbba,Vol-3-S-H_M-Semitic-Hebrew-Males-Abba-7,Italy 
 אבאAbba,Vol-3-S-H_M-Semitic-Hebrew-Males-Abba-8,Egypt 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-1,Georgia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-2,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-3,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-4,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-5,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-6,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-7,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-8,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-9,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-10,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-11,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-12,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-13,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-14,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-15,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-16,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-17,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-18,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-19,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-20,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-21,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-22,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-23,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-24,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-25,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-26,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-27,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-28,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-29,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-30,Babylonia 
