lemma	pointer_in_volume	details								
 ????Mariam	Vol-2-B_F-d8e1714-person	Epitaph	 Zoar 							
 ????Mariam	Vol-2-B_F-d8e1741-person	Memorial inscription	 Hammat Gader 							
 ????Mariam	Vol-2-Vol-1-ADD-B_F-d8e145-person	Ossuary	 Hinnom Valley	 Kloner 						
 ????Mariam	Vol-2-Vol-1-ADD-B_F-d8e182-person	Ossuary	 Franciscan Museum 							
 ????Mariam	Vol-2-Vol-1-ADD-B_F-d8e216-person	Ossuary 								
 ????Mariam	Vol-2-Vol-1-ADD-B_F-d8e251-person	Epitaph	 Jatt							
                   										
 ????Mariam	Vol-2-Vol-1-ADD-B_F-d8e301-person	Dedicatory inscription	 Mt. Gerizim 							
 ????Mariam	Vol-2-Vol-1-ADD-B_F-d8e335-person	Dedicatory inscription	 Mt. Gerizim 							
 ????Mariam	Vol-2-Vol-1-ADD-B_F-d8e371-person	Papyrus	 Judean Desert 							
 ????Mariam	Vol-3-B_F-d8e1756-person	Ostracon	 Edfu	 Wessely 						
 ????Mariam	Vol-3-B_F-d8e1791-person	Ostracon	 Edfu	 Manteuffel 						
 ????Mariam	Vol-3-B_F-d8e1826-person	Ostracon	 Edfu	 Meyer 						
 ????Mariam	Vol-3-B_F-d8e1861-person	Ostraca	 Thebes	 Meyer 						
 ????Mariam	Vol-3-B_F-d8e1902-person	Papyrus	 Trikomia 							
 ????Mariam	Vol-3-B_F-d8e1937-person	Papyrus	 Trikomia 							
 ????Mariam	Vol-3-B_F-d8e1972-person	Papyrus	 Trikomia 							
 ????Mariam	Vol-3-B_F-d8e2010-person	Papyrus	 Ptolomais Hormo 							
 ????Mariam	Vol-3-B_F-d8e2054-person	Papyrus	 Oxyrhynchus 							
 ????Mariam	Vol-3-B_F-d8e2088-person	Papyrus	 Aphrodito 							
 ????Mariam	Vol-3-B_F-d8e2127-person	Papyrus	 Cairo 							
 ????Mariam	Vol-3-B_F-d8e2162-person	Epitaph	 Via Flaminia	 Lupi 						
 ????Mariam	Vol-3-B_F-d8e2200-person	Epitaph	 Villa Torlonia	 Paribeni 						
 ????Mariam	Vol-3-B_F-d8e2243-person	Epitaph	 Vigna Randanini	 Garrucci 						
 ????Mariam	Vol-3-B_F-d8e2281-person	Epitaph	 Vigna Randanini	 Garrucci 						
 ????Mariam	Vol-3-B_F-d8e2319-person	Epitaph	 Palazzo Grandi	 Frey 						
 ????Mariam	Vol-3-B_F-d8e2361-person	Epitaph	 Vigna Randanini	 Garrucci 						
 ????Mariam	Vol-3-B_F-d8e2398-person	Epitaph	 Monteverde	 Schneider Graziosi 						
 ????Mariam	Vol-3-B_F-d8e2436-person	Epitaph	 Monteverde	 Schneider Graziosi 						
 ????Mariam	Vol-3-B_F-d8e2480-person	Epitaph	 Monteverde	 Paribeni 						
 ????Mariam	Vol-3-B_F-d8e2518-person	Epitaph	 Monteverde	 Schneider Graziosi 						
 ????Mariam	Vol-3-B_F-d8e2555-person	Sarcophagus	 Dante Vaglieri 							
 ????Mariam	Vol-3-B_F-d8e2596-person	Graffito	 Pompeii	 Garrucci 						
 ????Mariam	Vol-3-B_F-d8e2633-person	Political petition	 Graffito	 Pompeii	 Della Corte 					
 ????Mariam	Vol-3-B_F-d8e2664-person	Epitaphs	 Venosa	 Angelis & Smith 						
 ????Mariam	Vol-3-B_F-d8e2712-person	Epitaph	 Civitavecchia	 Mengarelli 						
 ????Mariam	Vol-3-B_F-d8e2755-person	Epitaph	 Tortosa	 Renen & Le Blant 						
 ????Mariam	Vol-3-B_F-d8e2812-person	Epitaph	 Soklos	 Diehl 						
 ????Mariam	Vol-3-B_F-d8e2937-person	Epitaph	 Larissa	 Oehler 						
 ????Mariam	Vol-3-B_F-d8e2975-person	Sarcophagus	 Hierapolis	 Judeich 						
 ????Mariam	Vol-3-B_F-d8e3017-person	Sarcophagus	 Hierapolis	 Judeich 						
 ????Mariam	Vol-3-B_F-d8e3052-person	Ossuary	 Mt of Olives (Jerusalem)	 Vincent 						
 ????Mariam	Vol-3-B_F-d8e3096-person	Ossuary	 Jerusalem	 Clermont-Ganneau 						
 ????Mariam	Vol-3-B_F-d8e3139-person	Epitaph	 Antinoopolis	 de Ricci 						
 ????Mariam	Vol-3-B_F-d8e3174-person	Epitaph	 Ravena	 Spreti 						
 ????Mariam	Vol-3-B_F-d8e3211-person	Epitaph	 Capena	 Solin 						
 ????Mariam	Vol-3-B_F-d8e3254-person	Epitaph	 Sanders 							
 ????Mariam	Vol-3-B_F-d8e3294-person	Epitaph	 Lupi 							
 ????Mariam	Vol-3-B_F-d8e3338-person	Epitaph	 Alexandria	 Breccia 						
 ????Mariam	Vol-3-B_F-d8e3373-person	Epitaph	 Teucheira	 Oliverio 						
 ????Mariam	Vol-3-B_F-d8e3411-person	Epitaph	 Teucheira	 Oliverio 						
 ????Mariam	Vol-3-B_F-d8e3450-person	Epitaph	 Hacilar 							
 ????Mariam	Vol-3-B_F-d8e3488-person	Epitaph	 Alkaran 							
 ????Mariam	Vol-3-B_F-d8e3532-person	Sarcophagus	 Hierapolis 							
 ????Mariam	Vol-3-B_F-d8e3565-person	Epitaph	 Sirrihissar							
                   										
 ????Mariam	Vol-3-B_F-d8e3610-person	Epitaph	 Chios 							
 ????Mariam	Vol-3-B_F-d8e3653-person	Epitaph	 Chios 							
 ????Marin	Vol-2-S-H_F-d8e870-person	Amulet	 Horvat Kanaf							
                   										
 ????Marin	Vol-2-S-H_F-d8e901-person	Amulet	 Irbid							
                   										
 ????Marin	Vol-2-Vol-1-ADD-S-H_F-d8e428-person	Ossuary	 Israel Museum 							
 ????Marin	Vol-3-S-H_F-d8e392-person	Papyrus	 Samaria	 Wilcken 						
 ????Marin	Vol-3-S-H_F-d8e431-person	Papyrus	 Trikomia	 Wilcken 						
 ????Marin	Vol-3-S-H_F-d8e469-person	Papyrus	 Alexandria	 Schubart 						
 ????Marin	Vol-3-S-H_F-d8e504-person	Papyrus	 Alexandria	 Schubart 						
 ????Marin	Vol-3-S-H_F-d8e545-person	Papyrus	 Trikomia 							
 ????Marin	Vol-3-S-H_F-d8e590-person	Papyrus	 Trikomia 							
 ????Marin	Vol-3-S-H_F-d8e629-person	Epitaph	 Leontopolis	 Edgar 						
 ????Marin	Vol-3-S-H_F-d8e677-person	Epitaph	 Leontopolis	 Edgar 						
 ????Marin	Vol-3-S-H_F-d8e721-person	Epitaph	 Leontopolis	 Leibovitch 						
 ????Marin	Vol-3-S-H_F-d8e762-person	Epitaph	 Leontopolis	 Leibovitch 						
 ????Marin	Vol-3-S-H_F-d8e797-person	Epitaph	 Leontopolis	 Wagner 						
 ????Marin	Vol-3-S-H_F-d8e842-person	Epitaph	 Apollonia	 Applebaum 						
 ????Marin	Vol-3-S-H_F-d8e880-person	Epitaph	 Apollonia	 Applebaum 						
 ????Marin	Vol-3-S-H_F-d8e939-person	Epitaph	 Ptolemais	 Pacho 						
 ????Marin	Vol-3-S-H_F-d8e979-person	Epitaph	 Teucheira	 Oliverio 						
 ????Marin	Vol-3-S-H_F-d8e1017-person	Epitaph	 Teucheira	 Gray 						
 ????Marin	Vol-3-S-H_F-d8e1057-person	Epitaph	 Um el-Hnaar 							
 ????Marin	Vol-3-S-H_F-d8e1099-person	Epitaph	 Gabbari 							
 ????Marin	Vol-3-S-H_F-d8e1135-person	Amulet	 Oxyrhynchus	 						
 ???????Marina	Vol-2-G_F-d8e3506-person	Epitaph	 Caesarea 							
 ???????Marina	Vol-2-G_F-d8e3536-person	Epitaph	 Caesarea 							
 MarinaMarina	Vol-3-L_F-d8e26475-person	Epitaph	 Vigna Randanini	 Garrucci 						
 MarinaMarina	Vol-3-L_F-d8e26523-person	Epitaph	 Monteverde	 Schneider Graziosi 						
 MarinusMarinus	Vol-2-L_M-d8e7589-person	Synagogue inscriptions	 Beth She’an/Beth Alpha Sukenik 							
 MarinusMarinus	Vol-2-L_M-d8e7643-person	Dedicatory inscription	 Syria 							
 MarinusMarinus	Vol-2-L_M-d8e7710-person	Epitaph	 Beth She‘arim	 catacomb 13 						
 MarinusMarinus	Vol-2-L_M-d8e7739-person	Synagogue inscription	 El-Khirbe							
                   										
 MarinusMarinus	Vol-2-L_M-d8e7781-person	Epitaph	 Caesarea 							
 MarinusMarinus	Vol-2-L_M-d8e7814-person	Dedicatory inscription	 Caesarea 							
 MarinusMarinus	Vol-2-L_M-d8e7848-person	Epitaph	 Raqit							
                   										
 MarinusMarinus	Vol-2-L_M-d8e7889-person	Epitaph	 Tiberias 							
 MarinusMarinus	Vol-2-L_M-d8e7922-person	Epitaph	 Carthage 							
 MarinusMarinus	Vol-2-L_M-d8e7973-person	Epitaph	 Sepphoris 							
 MarinusMarinus	Vol-2-L_M-d8e8014-person	Street dedicatory inscription	 Beth She’an 							
 MarinusMarinus	Vol-2-L_M-d8e8050-person	Inscription	 Elijah’s Cave 							
 MarinusMarinus	Vol-2-Vol-1-ADD-L_M-d8e1407-person	Krauss	Leben Jesu	 p. 128 						
 MarinusMarinus	Vol-3-L_M-d8e28188-person	Papyrus	 Arsinoe	 Kenyon & Bell 						
 MarinusMarinus	Vol-3-L_M-d8e28226-person	Epitaph	 Villa Torlonia	 Paribeni 						
 MarinusMarinus	Vol-3-L_M-d8e28264-person	Epitaph	 Teucheira	 Applebaum 						
 MarinusMarinus	Vol-3-L_M-d8e28302-person	Epitaph	 Carthage 							
 MarinusMarinus	Vol-3-L_M-d8e28339-person	Epitaph	 Mauritania 							
 MarinusMarinus	Vol-4-Vol-3-Add-L_M-d8e123-person	Papyrus	 Fayum 							
 ???????Marion	Vol-1-G_M-d2e12506-person	Ossuary 								
 ???????Marion	Vol-1-G_M-d2e12528-person	Papyrus	 Muraba‘at 							
 ???????Marion	Vol-1-G_M-d2e12560-person	Ostracon	 Muraba‘at 							
 ???????Marion	Vol-4-Vol-3-Add-G_M-d8e552-person	Papyrus	 Fayum 							
 ???????Marion	Vol-4-Vol-3-Add-G_M-d8e584-person	Papyrus	 Fayum 							
 MariosMarios	Vol-3-E_M-d8e3472-person	Papyrus	 Arsinoe	 Schürer 						
 MariosMarios	Vol-3-E_M-d8e3506-person	Papyrus	 Arsinoe	 Schürer 						
 MarkaMarka	Vol-4-I_M-d8e7468-person	Incantation bowl	 London 							
 ??????????Marmarius	Vol-2-G_M-d8e12826-person	Synagogue inscription	 Tiberias 							
 MarnaqaMarnaqa	Vol-4-I_M-d8e7706-person	Incantation bowl	 Israel Museum 							
 MaroMaro	Vol-1-L_M-d2e3717-person	Papyrus	 marriage contract	 “Seyal” 						
 ??????Maron	Vol-2-G_M-d8e12879-person	Epitaph	 Zoar 							
 ??????Maron	Vol-2-G_M-d8e12908-person	Epitaph	 Jaffa 							
 ??????Maron	Vol-2-G_M-d8e12950-person	Inscription	 Ayelet Ha-Shahar							
                   										
 MaroniusMaronius	Vol-3-L_M-d8e28390-person	Papyrus	 Karanis	 Pearl & Youtie 						
 MaroniusMaronius	Vol-3-L_M-d8e28428-person	Epitaph	 Vigna Randanini	 Garrucci 						
 MaroniusMaronius	Vol-3-L_M-d8e28478-person	Epitaph	 Vigna Randanini	 Müller 						
 MaroniusMaronius	Vol-3-L_M-d8e28541-person	Epitaph	 Vigna Randanini	 Garrucci 						
 MaroniusMaronius	Vol-3-L_M-d8e28575-person	Epitaph	 Mantinea	 Newton 						
 MarosaMarosa	Vol-3-L_F-d8e26569-person	Epitaph	 Vigna Randanini	 Garrucci 						
 MaroshitaMaroshita	Vol-4-I_F-d8e9594-person	Incantation bowl	 Moussyaieff collection 							
 MarousMarous	Vol-3-E_F-d8e415-person	Ostracon	 Edfu	 Manteuffel 						
 MarousMarous	Vol-3-E_F-d8e447-person	Papyrus	 Fayum	 Kenyon & Bell 						
 ????Marsah	Vol-2-S-H_M-d8e18679-person	Epitaph	 Zoar 							
 ????Marsah	Vol-2-S-H_M-d8e18708-person	Tombstone	 Zoar 							
 ????????Marsuas	Vol-3-G_M-d8e54566-person	Papyrus	 Heracleopolis 							
 ????Martha	Vol-1-S-H_F-d2e1542-person	Ossuary	 Shu‘afat	 Abel	1913					
 ????Martha	Vol-1-S-H_F-d2e1571-person	Ossuary	 Isawiyya	 Sukenik	1930					
 ????Martha	Vol-1-S-H_F-d2e1603-person	Ossuary	 Mt Olives	 Spoer	1907					
 ????Martha	Vol-1-S-H_F-d2e1625-person	Ossuary	 Mt Olives	 Lagrange	1893					
 ????Martha	Vol-1-S-H_F-d2e1647-person	Ossuary	 Mt of Offence	 Clermont-Ganneau	1883					
 ????Martha	Vol-1-S-H_F-d2e1666-person	Ossuary	 Bagatti 							
 ????Martha	Vol-1-S-H_F-d2e1688-person	Ossuary	 Bagatti 							
 ????Martha	Vol-1-S-H_F-d2e1710-person	Ossuary	 Kidron	 Sukenik	1936					
 ????Martha	Vol-1-S-H_F-d2e1730-person	Ossuary	 Gibat Hamibtar	 Naveh	1968					
 ????Martha	Vol-1-S-H_F-d2e1749-person	Ossuary	 Jerusalem 							
 ????Martha	Vol-1-S-H_F-d2e1768-person	Ossuary	 Jerusalem 							
 ????Martha	Vol-1-S-H_F-d2e1791-person	Ossuary	 Jerusalem 							
 ????Martha	Vol-1-S-H_F-d2e1813-person	Ossuary	 French Hill	 A. Mazar	1970					
 ????Martha	Vol-1-S-H_F-d2e1832-person	Ossuary	 Mt Scopus	 Vitto	1971					
 ????Martha	Vol-1-S-H_F-d2e1851-person	Ossuary	 Êcole Biblique 							
 ????Martha	Vol-1-S-H_F-d2e1875-person	Ossuary	 French Hill 							
 ????Martha	Vol-1-S-H_F-d2e1924-person	Ossuary	 Mount of Offence	 Clermont-Ganneau	1883					
 ????Martha	Vol-1-S-H_F-d2e1951-person	Inscription	 Silwan 							
 ????Martha	Vol-2-S-H_F-d8e1094-person	Amulet	 Teqoa							
                   										
 ????Martha	Vol-2-S-H_F-d8e1125-person	Epitaph	 Dera‘at							
                   										
 ????Martha	Vol-2-S-H_F-d8e1173-person	Epitaph	 Zoar 							
 ????Martha	Vol-2-Vol-1-ADD-S-H_F-d8e480-person	Ossuary	 Jebel Batn el-Hawa 							
 ????Martha	Vol-2-Vol-1-ADD-S-H_F-d8e511-person	Ossuary	 University of Missouri 							
 ????Martha	Vol-2-Vol-1-ADD-S-H_F-d8e545-person	Ossuary	 Franciscan Museum 							
 ????Martha	Vol-2-Vol-1-ADD-S-H_F-d8e579-person	Epitaph	 Athens	 Urdahl 						
 ????Martha	Vol-3-S-H_F-d8e1185-person	Papyrus	 Alexandria	 Schubart 						
 ????Martha	Vol-3-S-H_F-d8e1223-person	Papyrus	 Alexandria	 Schubart 						
 ????Martha	Vol-3-S-H_F-d8e1267-person	Wooden tablet	 Kellis 							
 ????Martha	Vol-3-S-H_F-d8e1321-person	Epitaph	 Monteverde	 Kanzler 						
 ????Martha	Vol-3-S-H_F-d8e1358-person	Graffito	 Pompeii	 Sogliano 						
 ????Martha	Vol-3-S-H_F-d8e1392-person	Epitaph	 Athens	 Urdahl 						
 ????Martha	Vol-3-S-H_F-d8e1433-person	Epitaph	 Sivagni 							
 ????Martha	Vol-3-S-H_F-d8e1480-person	Colombarium inscription	 Lind 							
 ????Martha	Vol-3-S-H_F-d8e1521-person	Epitaph	 Teucheira	 Applebaum 						
 ????Martha	Vol-3-S-H_F-d8e1559-person	Sarcophagus	 Lipara 							
 ????Martha	Vol-4-S-H_F-d8e5088-person	Ossuary	 Jerusalem	 Abel 						
 ????Martha	Vol-4-S-H_F-d8e5131-person	Endowment inscription	 Palmyra 							
 ????Martha	Vol-4-S-H_F-d8e5171-person	Epitaph	 Palmyra 							
 ????Martha	Vol-4-S-H_F-d8e5206-person	Epitaph	 Mad??in ??li? 							
 ????Martha	Vol-4-S-H_F-d8e5244-person	Incantation bowl	 Nippur	 Montgomery 						
 ????Martha	Vol-4-S-H_F-d8e5279-person	Incantation bowl	 Nippur	 Montgomery 						
 ????Martha	Vol-4-S-H_F-d8e5314-person	Incantation bowl	 Nippur	 Gordon 						
 ????Martha	Vol-4-S-H_F-d8e5349-person	Incantation bowl	 Tel Aviv 							
 ????Martha	Vol-4-S-H_F-d8e5390-person	Incantation bowl 								
 ????Martha	Vol-4-S-H_F-d8e5427-person	Incantation bowl 								
 ????Martha	Vol-4-S-H_F-d8e5462-person	Incantation bowl	 Moriah collection 							
 ????Martha	Vol-4-S-H_F-d8e5497-person	Incantation bowls	 Ctesiphon 							
 ????Martha	Vol-4-S-H_F-d8e5539-person	Inscribed skull	 Moussyaieff collection 							
 ???????Marthad’ilan	Vol-2-Vol-4-ADD-A_M-d8e1189-person	Dedication inscription	 Zafar	 Yemen 						
 MartinaMartina	Vol-2-L_F-d8e1721-person	Epitaph	 Zoar 							
 MartinaMartina	Vol-3-L_F-d8e26617-person	Epitaph	 Frey 							
 MartinaMartina	Vol-3-L_F-d8e26652-person	Epitaph	 Delos	 Blouet 						
 MartinaMartina	Vol-3-L_F-d8e26715-person	Epitaph	 Auch	 Le Blant 						
 MartinusMartinus	Vol-4-L_M-d8e992-person	Graffito	 synagogue Dura-Europos	 du Mesnil 						
 MarullaMarulla	Vol-1-L_F-d2e662-person	Ossuary	 Ramat Rahel	 Kochavi 						
 MarullinaMarullina	Vol-3-Add-L_F-d8e15-person	Amulet	 Comiso 							
 MarullinaMarullina	Vol-3-L_F-d8e26763-person	Sarcophagus	 Ponte Sisto	 Gatti 						
 ????Marut	Vol-2-S-H_M-d8e18309-person	Synagogue inscription	 Na‘aran	Vincent & Carrière 						
 ????Marut	Vol-2-S-H_M-d8e18338-person	Synagogue inscription	 Caesarea	 Schwabe 						
 MarwD??tMarwD??t	Vol-4-I_F-d8e9648-person	Incantation bowl	 Toronto 							
 ?????Masabala	Vol-2-Vol-1-ADD-P_M-d8e1593-person	Clay disc 								
 ?????Ma?siah	Vol-4-B_M-d8e15982-person	yBer6:6	 10d (Kosovsky	Yerushalmi	 22) 					
 ?????Ma?siah	Vol-4-B_M-d8e16025-person	bShab10b (Kosowsky	Babylonico	 –) 						
 ?????????Massamas	Vol-4-G_M-d8e1453-person	Military roster papyrus	 Dura-Europos 							
 MasuriusMasurius	Vol-3-L_M-d8e28621-person	Epitaph	 Carthage 							
 ????????Matanashtoret	Vol-3-S-H_M-d8e4983-person	Epitaph	 Kition	 Hadjisavvas 						
 ?????Mataniah	Vol-1-B_M-d2e44325-person	Papyrus	 letter	 “Seyal” 						
 ?????Mataniah	Vol-4-B_M-d8e17791-person	bBer23a (Kosowsky	Babylonico	 1064) 						
 ?????Mataniah	Vol-4-B_M-d8e17830-person	bBer63a (Kosowsky	Babylonico	 1064) 						
 ?????Mataniah	Vol-4-B_M-d8e17869-person	bShab21a (Kosowsky	Babylonico	 1064) 						
 ?????Mataniah	Vol-4-B_M-d8e17914-person	bShab60b (Kosowsky	Babylonico	 1064) 						
 ?????Mataniah	Vol-4-B_M-d8e17952-person	bRhSh19a (Kosowsky	Babylonico	 1064) 						
 ???Mathan	Vol-2-Vol-1-ADD-B_M-d8e7867-person	Papyrus	 Zenon Archive 							
 ???Mathan	Vol-3-B_M-d8e10267-person	Epitaph	 Kition	 Hadjisavvas 						
 MathawarMathawar	Vol-4-I_F-d8e9693-person	Incantation bowl	 Berlin 							
 ????Mathia	Vol-2-Vol-1-ADD-B_F-d8e415-person	Epitaph	 Athens	 Urdahl 						
 ????Mathia	Vol-2-Vol-1-ADD-B_F-d8e473-person	Epitaph	 Athens	 Urdahl 						
 MatielosMatielos	Vol-3-S-G_M-d8e2919-person	Ostracon	 Thebes 							
 MatielosMatielos	Vol-3-S-G_M-d8e2958-person	Epitaph	 Teucheira	 Applebaum 						
 MatriaMatria	Vol-2-L_F-d8e1782-person	Dedicatory inscription	 seat	 Nablus 						
 MatronaMatrona	Vol-2-L_F-d8e1872-person	Column inscription	 Ashkelon	 Sukenik 						
 MatronaMatrona	Vol-2-L_F-d8e1929-person	Circus inscription	 Tyre	Rey-Coquais 						
 MatronaMatrona	Vol-2-L_F-d8e1974-person	Amulet	 Syria	 Schwabe & Reifenberg 						
 MatronaMatrona	Vol-2-L_F-d8e2012-person	Epitaphs	 Beth She‘arim	 catacomb 12 						
 MatronaMatrona	Vol-2-L_F-d8e2060-person	Synagogue inscription	 Caesarea	 Avi-Yonah 						
 MatronaMatrona	Vol-2-L_F-d8e2093-person	Epitaph	 Zoar 							
 MatronaMatrona	Vol-2-L_F-d8e2137-person	Amulet	 private collection 							
 MatronaMatrona	Vol-3-L_F-d8e26818-person	Papyrus	 Fayum 							
 MatronaMatrona	Vol-3-L_F-d8e26853-person	Papyrus	 Berlin 							
 MatronaMatrona	Vol-3-L_F-d8e26891-person	Epitaph	 Villa Torlonia	 Paribeni 						
 MatronaMatrona	Vol-3-L_F-d8e26932-person	Epitaph	 Venosa	 Angelis & Smith 						
 MatronaMatrona	Vol-3-L_F-d8e26972-person	Epitaph	 Narbona	 Renan & Le Blant 						
 MatronaMatrona	Vol-3-L_F-d8e27010-person	Sarcophagus	 Corycus	 Duchesne	 					
 MatronaMatrona	Vol-3-L_F-d8e27046-person	Epitaph	 Mauritania 							
 ?????Mattathias	Vol-1-B_M-d2e45230-person	Ossuary	 Isawiyya	 Sukenik	1930					
 ?????Mattathias	Vol-1-B_M-d2e45252-person	Ossuary	 Isawiyya	 Sukenik	1930					
 ?????Mattathias	Vol-1-B_M-d2e45274-person	Ossuary	 Mt Olives	 Clermont-Ganneau	1881					
 ?????Mattathias	Vol-1-B_M-d2e45300-person	Ossuary	 Mt Olives	 Clermont-Ganneau	1881					
 ?????Mattathias	Vol-1-B_M-d2e45323-person	Ossuaries	 Greek Colony	 Sukenik	1926					
 ?????Mattathias	Vol-1-B_M-d2e45355-person	Ossuary	 Greek Colony	 Sukenik	1926					
 ?????Mattathias	Vol-1-B_M-d2e45380-person	Ossuary	 Malha	 Clermont-Ganneau	1881					
 ?????Mattathias	Vol-1-B_M-d2e45402-person	Ossuary	 Bagatti 							
 ?????Mattathias	Vol-1-B_M-d2e45425-person	Ossuary	 Bagatti 							
 ?????Mattathias	Vol-1-B_M-d2e45447-person	Ossuary	 Bagatti 							
 ?????Mattathias	Vol-1-B_M-d2e45469-person	Ossuary	 French Hill	 Kloner	1975					
 ?????Mattathias	Vol-1-B_M-d2e45497-person	Ossuary	 French Hill	 Kloner	1975					
 ?????Mattathias	Vol-1-B_M-d2e45520-person	Ossuary	 Mt of Offence	 Gath	1981					
 ?????Mattathias	Vol-1-B_M-d2e45542-person	Ossuary	 Russian Monastery 							
 ?????Mattathias	Vol-1-B_M-d2e45565-person	Ossuary	 Talpiyot 							
 ?????Mattathias	Vol-1-B_M-d2e45588-person	Ossuary	 Kidron 							
 ?????Mattathias	Vol-1-B_M-d2e45611-person	Ossuary	 Kidron 							
 ?????Mattathias	Vol-1-B_M-d2e45631-person	Inscription	 Gibat Hamibtar 							
 ?????Mattathias	Vol-1-B_M-d2e45675-person	Ostracon	 Jerusalem 							
 ?????Mattathias	Vol-1-B_M-d2e45694-person	Inscriptions	 Herodium	 Testa 						
 ?????Mattathias	Vol-1-B_M-d2e45722-person	Coins 								
 ?????Mattathias	Vol-1-B_M-d2e45747-person	Weight-stone	 Migdal 							
 ?????Mattathias	Vol-1-B_M-d2e45771-person	Papyrus	 Muraba‘at 							
 ?????Mattathias	Vol-1-B_M-d2e45788-person	Papyrus	 Muraba‘at 							
 ?????Mattathias	Vol-1-B_M-d2e45808-person	Ostracon	 Muraba‘at 							
 ?????Mattathias	Vol-1-B_M-d2e45825-person	Ostracon	 Muraba‘at 							
 ?????Mattathias	Vol-1-B_M-d2e45845-person	Parchment	 Muraba‘at 							
 ?????Mattathias	Vol-1-B_M-d2e45866-person	Papyrus	 deed	 Babatha archive 						
 ?????Mattathias	Vol-1-B_M-d2e45887-person	Papyrus	 deed	 Babatha archive 						
 ?????Mattathias	Vol-1-B_M-d2e45929-person	Papyrus	 deed	 Babatha archive 						
 ?????Mattathias	Vol-1-B_M-d2e45950-person	Papyri	 Heber -”Seyal” 							
 ?????Mattathias	Vol-1-B_M-d2e45978-person	Papyri	 Heber -”Seyal” 							
 ?????Mattathias	Vol-1-B_M-d2e46009-person	Parchment	 deed	 “Seyal” 						
 ?????Mattathias	Vol-1-B_M-d2e46035-person	Parchment	 deed	 “Seyal” 						
 ?????Mattathias	Vol-1-B_M-d2e46058-person	Parchment	 “Qumran”							
                   										
 ?????Mattathias	Vol-1-B_M-d2e46078-person	Papyrus	 “Qumran”							
                   										
 ?????Mattathias	Vol-1-B_M-d2e46104-person	Papyrus	 Seelim 							
 ?????Mattathias	Vol-1-B_M-d2e46132-person	Jar	 Masada 							
 ?????Mattathias	Vol-2-B_M-d8e36772-person	Synagogue inscription	 Yesud Hamaala	Goldhar 						
 ?????Mattathias	Vol-2-B_M-d8e36804-person	Epitaph	 Beth She‘arim	 catacomb 1	CIJ1061 					
 ?????Mattathias	Vol-2-B_M-d8e36836-person	Epitaph	 Ben Shemen							
                   										
 ?????Mattathias	Vol-2-B_M-d8e36881-person	Epitaph	 Zoar 							
 ?????Mattathias	Vol-2-B_M-d8e36910-person	Synagogue inscription	 Rehov							
                   										
 ?????Mattathias	Vol-2-Vol-1-ADD-B_M-d8e8056-person	Ossuary	 A-Tur monastery 							
 ?????Mattathias	Vol-2-Vol-1-ADD-B_M-d8e8093-person	Ossuary fragment	 Franciscan museum 							
 ?????Mattathias	Vol-2-Vol-1-ADD-B_M-d8e8127-person	Inscription	 Temple Mount 							
 ?????Mattathias	Vol-2-Vol-1-ADD-B_M-d8e8163-person	Dedicatory inscription	 Mt. Gerizim 							
 ?????Mattathias	Vol-2-Vol-1-ADD-B_M-d8e8200-person	Ostracon	 Qumran	 KhQ 2553 						
 ?????Mattathias	Vol-2-Vol-1-ADD-B_M-d8e8229-person	Ostracon	 Jerusalem 							
 ?????Mattathias	Vol-2-Vol-1-ADD-B_M-d8e8262-person	Military diplome inscription	 Verona	 Mommsen 						
 ?????Mattathias	Vol-2-Vol-1-ADD-B_M-d8e8305-person	Altar dedicatory inscription	 Hauran							
                   										
 ?????Mattathias	Vol-3-B_M-d8e10315-person	Papyrus	 Hermopolis 							
 ?????Mattathias	Vol-3-B_M-d8e10358-person	Epitaph	 Vigna Randanini	 Müller 						
 ?????Mattathias	Vol-3-B_M-d8e10403-person	Epitaph	 Bogazköy	 Bittel 						
 ?????Mattathias	Vol-3-B_M-d8e10441-person	Epitaph	 Bogazköy	 Bittel 						
 ?????Mattathias	Vol-3-B_M-d8e10485-person	Epitaph	 Aizanoi	 Pazarcik 						
 ?????Mattathias	Vol-3-B_M-d8e10520-person	Epitaph	 Acmonia	 Ramsay 						
 ?????Mattathias	Vol-3-B_M-d8e10570-person	Epitaph	 Kotiaeion	 Weber 						
 ?????Mattathias	Vol-3-B_M-d8e10605-person	Epitaph	 Yalnizsaray 							
 ?????Mattathias	Vol-3-B_M-d8e10646-person	Epitaph	 Zemme 							
 ?????Mattathias	Vol-3-B_M-d8e10684-person	Epitaph	Ankara Museum 							
 ?????Mattathias	Vol-3-B_M-d8e10722-person	Graffito	 Thasos 							
 ?????Mattathias	Vol-3-B_M-d8e10758-person	Epitaph	 Zemme 							
 ?????Mattathias	Vol-3-B_M-d8e10794-person	Epitaph	 Athens 							
 ?????Mattathias	Vol-3-B_M-d8e10836-person	Copper plate 								
 MauriaMauria	Vol-3-L_F-d8e27095-person	Epitaph	 Monteverde	 Paribeni 						
 MaurusMaurus	Vol-3-L_M-d8e28668-person	Sarcophagus	 Hierapolis	 Judeich 						
 MaximaMaxima	Vol-2-L_F-d8e2175-person	Synagogue inscription	 Tel Aviv 							
 MaximaMaxima	Vol-3-L_F-d8e27141-person	Graffito	 Monteverde	 Schneider Graziosi 						
