lemma	pointer_in_volume	details								
 ?????Abitai	Vol-3-S-H_M-d8e582-person	Ostracon	 Edfu 							
 ?????Abitai	Vol-3-S-H_M-d8e613-person	Ostracon	 Edfu	 Sachau 						
 ?????Abitai	Vol-3-S-H_M-d8e644-person	Ostracon	 Edfu 							
 ?????Abitai	Vol-3-S-H_M-d8e675-person	Ostracon	 Edfu 							
 ?????Abitai	Vol-3-S-H_M-d8e706-person	Ostracon	 Thebes	 Tait 						
 ?????Abitai	Vol-3-S-H_M-d8e741-person	Ostracon	 Thebes	 Tait 						
 ?????Abitai	Vol-3-S-H_M-d8e781-person	Ostraca	 Thebes	 Wilcken	 Tait 					
 ?????Abitai	Vol-3-S-H_M-d8e816-person	Ostracon	 Upper Egypt	 Sayce 						
 ?????Abitai	Vol-3-S-H_M-d8e852-person	Ostracon	 Upper Egypt	 Tait 						
 ?????Abitai	Vol-3-S-H_M-d8e887-person	Ostracon	 Upper Egypt	 Tait 						
 ?????Abitai	Vol-3-S-H_M-d8e922-person	Ostracon	 Upper Egypt	 Tait 						
 ?????Abitai	Vol-3-S-H_M-d8e960-person	Ostracon	 Edfu	 Meyer 						
 ?????Abitai	Vol-3-S-H_M-d8e995-person	Ostracon	 Edfu 							
 ?????Abitai	Vol-3-S-H_M-d8e1031-person	Ostracon/papyrus	 Thebes	 						
 ?????Abitai	Vol-3-S-H_M-d8e1098-person	Epitaph	 Leontopolis?Moretti 							
 ŠabiyaD??tŠabiyaD??t	Vol-4-I_F-d8e12317-person	Incantation bowl 								
 ?????Ab?‘l?	Vol-2-Vol-4-ADD-A_F-d8e16-person	Dedication inscription	 Zafar	 Yemen 						
 ??????????Ablabius	Vol-3-G_M-d8e66-person	Epitaph	 Migliore 							
 ????Abna	Vol-4-S-H_F-d8e18-person	Epitaph	 Palmyra	 Lidzbarski 						
 ?????Abnaya	Vol-1-S-H_M-d2e704-person	Ostracon Masada 								
 AbndadAbndad	Vol-4-I_M-d8e121-person	Incantation bowl	 Moussyaieff collection 							
 ????Abner	Vol-3-B_M-d8e174-person	Amphorae	 Pompeii	 Frey 						
 Abr??Abr??	Vol-4-I_F-d8e59-person	Incantation bowl	 Tel Aviv 							
 ?????Abraham	Vol-2-B_M-d8e382-person	Inscription	 Golden Gate	 Jerusalem	 Macalister 					
 ?????Abraham	Vol-2-B_M-d8e410-person	Epitaph	 Celeia	Diehl 						
 ?????Abraham	Vol-2-B_M-d8e448-person	Epitaph	 Beth She‘arim	 catacomb 1	CIJ1053 					
 ?????Abraham	Vol-2-B_M-d8e480-person	Synagogue inscription	 Tiberias 							
 ?????Abraham	Vol-2-B_M-d8e519-person	Epitaph	 Hebron?							
                   										
 ?????Abraham	Vol-2-Vol-1-ADD-B_M-d8e13-person	Epitaph?Tomb of the Prophets	 Jerusalem 							
 ?????Abraham	Vol-3-B_M-d8e230-person	Ostracon	 Edfu	 Sachau 						
 ?????Abraham	Vol-3-B_M-d8e264-person	Ostracon	 Thebes	 Sayce 						
 ?????Abraham	Vol-3-B_M-d8e302-person	Ostraca	 Edfu	 Wessely 						
 ?????Abraham	Vol-3-B_M-d8e350-person	Ostracon	 Edfu	 Manteuffel 						
 ?????Abraham	Vol-3-B_M-d8e389-person	Ostracon	 Edfu	 Wessely 						
 ?????Abraham	Vol-3-B_M-d8e427-person	Papyrus	 Hermopolis Magna	 Möller 						
 ?????Abraham	Vol-3-B_M-d8e462-person	Papyrus	 Fayum	 Krebs 						
 ?????Abraham	Vol-3-B_M-d8e497-person	Papyrus	 Fayum	 Krebs 						
 ?????Abraham	Vol-3-B_M-d8e532-person	Papyrus	 Fayum	 Wessely 						
 ?????Abraham	Vol-3-B_M-d8e579-person	Ostracon	 Heliopolis 							
 ?????Abraham	Vol-3-B_M-d8e627-person	Papyrus	 Strasbourg 							
 ?????Abraham	Vol-3-B_M-d8e661-person	Papyrus	 Arsinoe 							
 ?????Abraham	Vol-3-B_M-d8e699-person	Papyrus	 St Louis 							
 ?????Abraham	Vol-3-B_M-d8e732-person	Papyrus	 Hermopolis 							
 ?????Abraham	Vol-3-B_M-d8e765-person	Papyrus	 Hermopolis 							
 ?????Abraham	Vol-3-B_M-d8e801-person	Papyrus	 Fayum 							
 ?????Abraham	Vol-3-B_M-d8e843-person	Papyrus	 Fayum 							
 ?????Abraham	Vol-3-B_M-d8e875-person	Epitaph	 Thessalonica	 Reinach 						
 ?????Abraham	Vol-3-B_M-d8e916-person	Epitaph	 Margarini 							
 ?????Abraham	Vol-3-B_M-d8e988-person	Epitaph	 Kh. Hebra (Israel)	 Vincent 						
 ?????Abraham	Vol-3-B_M-d8e1032-person	Epitaph	 Leontopolis	 Miller 						
 ?????Abraham	Vol-3-B_M-d8e1076-person	Dedicatory inscription	 Ptolemais	 Lefèbvre 						
 ?????Abraham	Vol-3-B_M-d8e1112-person	Epitaph	 Crimea	 Chwolson 						
 ?????Abraham	Vol-3-B_M-d8e1149-person	Epitaph	 Phanagoria	Weisenberg 						
 ?????Abraham	Vol-4-B_M-d8e294-person	Synagogue inscription	 Dura-Europos	 du Mesnil 						
 ?????Abraham	Vol-4-B_M-d8e331-person	Synagogue inscription	 Dura-Europos	 du Mesnil 						
 ?????Abraham	Vol-4-B_M-d8e372-person	Epitaph	 Palmyra	 Sobernheim 						
 ?????Abraham	Vol-4-B_M-d8e411-person	Incantation bowl	 Nippur	 Montgomery 						
 ?????Abraham	Vol-4-B_M-d8e442-person	Incantation bowl	 private collection 							
 ?????Abraham	Vol-4-B_M-d8e476-person	Amulet	 Mtskheta 							
 ?????Abraham	Vol-4-B_M-d8e507-person	Papyrus	 Fayum 							
 ?????Abraham	Vol-4-B_M-d8e544-person	Seal 								
 ?????Abraham	Vol-4-Vol-3-Add-B_M-d8e52-person	Papyrus	 Fayum 							
 ??????Absalom	Vol-3-B_M-d8e1204-person	Epitaph	 Apollonia	 Van Buren 						
 ??????Absalom	Vol-3-B_M-d8e1246-person	Dedicatory inscription	 Memphis 							
 ??????Abshalom	Vol-1-B_M-d2e511-person	Ossuary	 Gibat Hamibtar	 Kloner	1971					
 ??????Abshalom	Vol-1-B_M-d2e530-person	Tomb inscription	 Silwan	 Hänsler	1908					
 ??????Abshalom	Vol-1-B_M-d2e558-person	Papyrus	 deed	 Muraba‘at 						
 ??????Abshalom	Vol-1-B_M-d2e575-person	Papyrus	 Muraba‘at 							
 ??????Abshalom	Vol-1-B_M-d2e598-person	Scroll	 Qumran 							
 ??????Abshalom	Vol-2-B_M-d8e670-person	Epitaph	 Samakiya							
                   										
 ??????Abshalom	Vol-2-B_M-d8e705-person	Inscription	 Beth She’an 							
 ??????Abshalom	Vol-2-Vol-1-ADD-B_M-d8e63-person	Epitaph	 Beit Govrin							
                   										
 ??????Abshalom	Vol-2-Vol-1-ADD-B_M-d8e124-person	Papyrus	 Judean Desert 							
 ??????Abshalom	Vol-4-B_M-d8e598-person	Leveen	JQR16 (1925-6) 402 							
 ??????Abshalom	Vol-4-B_M-d8e644-person	Epitaph	 al-?Ul? 							
 ????Ab?sham	Vol-2-Vol-4-ADD-A_M-d8e20-person	Dedication inscription	 Zafar	 Yemen 						
 ?????Absha?r	Vol-4-A_M-d8e16-person	Dedicatory inscription	 ?imyar 							
 ?????????Acacius	Vol-3-G_M-d8e2229-person	Ostracon	 Edfu	 Wessely 						
 ????????Acamas	Vol-3-G_M-d8e2277-person	Dedicatory inscription	 Hermopolis	 Jouguet 						
 AcceiusAcceius	Vol-3-L_M-d8e16-person	Papyrus	 Fayum	 Kortenbeutel 						
