person:nym,person:lemma_en,person:lemma_ancient,person:orthography,person:sex,person:hebrew,person:greek,person:checkme,person:id,person:pointer_in_volume,name:id,name:form,name:language_type,name:gender_type
 Aḥat-אחת,Aḥat,אחת,אחתאוי,F,,,,Vol-4-S-H_F-d8e578-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-15,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,אחאתי,F,,,,Vol-4-S-H_F-d8e616-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-16,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,–,F,,,,Vol-4-S-H_F-d8e654-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-17,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,–,F,,,,Vol-4-S-H_F-d8e689-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-18,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,Aḥat,F,,,,Vol-4-S-H_F-d8e721-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-19,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,–,F,,,,Vol-4-S-H_F-d8e759-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-20,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥatabu-אחתבו,Aḥatabu,אחתבו,–,F,,,,Vol-4-S-H_F-d8e813-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥatabu-1,name-Aatabu-d1e666681,Aḥatabu-אחתבו,S-H,F 
 Aḥatabu-אחתבו,Aḥatabu,אחתבו,אחדבוי,F,,,,Vol-4-S-H_F-d8e847-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥatabu-2,name-Aatabu-d1e666681,Aḥatabu-אחתבו,S-H,F 
 Aḥatabu-אחתבו,Aḥatabu,אחתבו,אתאדבה /אחתא דאבה/אחתא דאבוה,F,,,,Vol-4-S-H_F-d8e885-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥatabu-3,name-Aatabu-d1e666681,Aḥatabu-אחתבו,S-H,F 
 Aḥatabu-אחתבו,Aḥatabu,אחתבו,אחבתי/אחבתידו,F,,,,Vol-4-S-H_F-d8e928-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥatabu-4,name-Aatabu-d1e666681,Aḥatabu-אחתבו,S-H,F 
 Aḥatimma-אחתימא,Aḥatimma,אחתימא,–,F,,,,Vol-4-S-H_F-d8e974-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥatimma-1,name-Aatimma-d1e666885,Aḥatimma-אחתימא,S-H,F 
