baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-d,baseOrder,grp-ref-sifra,dam-lev,jac,lcs_len_char,lcs_str_char,lcc_distance,id
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.36.2.102-ref-sifre-d.36.2.118,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,51584,51665,ref-sifre-d.36.2.102,ref-sifre-d.36.2.118,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על הספר ובדיו אף כתב האמור כאן ,18,17,105,90.0,30,24.0,0.3333333333333333,0.6428571428571428,62,נאמר כאן כ ונאמר להלן כ מה כ האמור להלן  ר ובי אף כ האמור כאן ,0.33333333333333337,4060000021
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.43.25.1-ref-sifre-d.43.25.17,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,82467,82541,ref-sifre-d.43.25.1,ref-sifre-d.43.25.17,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן אף ונאמר להלן אף חרי מה חרי אף האמור להלן חרב אף חרי האמור כאן ,18,17,201,168.0,31,24.0,0.41935483870967744,0.5833333333333333,57,נאמר כאן  ונאמר להלן י מה י האמור להלן רב אף י האמור כאן ,0.3870967741935484,4060000022
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.62.4.5-ref-sifre-d.62.4.24,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,110105,110200,ref-sifre-d.62.4.5,ref-sifre-d.62.4.24,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן לשום את שמו ונאמר להלן ושמו את שמי מה שמי האמור להלן בלשון הקדש אף שמי האמור כאן ,18,20,310,310.0,32,32.0,0.4838709677419355,0.6428571428571428,61,נאמר כאן ו ונאמר להלן ו מה י האמור להלן בשו ש אף י האמור כאן ,0.34408602150537637,4060000023
ref-sifra.2.4-00.4.44-ref-sifra.2.4-00.4.59,ref-sifre-d.62.4.32-ref-sifre-d.62.4.47,24807,24896,ref-sifra.2.4-00.4.44,ref-sifra.2.4-00.4.59,110236,110320,ref-sifre-d.62.4.32,ref-sifre-d.62.4.47,ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן בכהן ,האמור להלן בית הבחירה ומה שמי האמור להלן ברכת כהנים אף שמי האמור כאן ברכת כהנים ,16,16,386,386.0,52,32.0,0.5365853658536586,0.75,53,אמר להלן יה מה י האמור להלן בר כי אף י האמור כאן בכה ,0.35365853658536583,4060000024
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.61,ref-sifre-d.64.2.2-ref-sifre-d.64.3.1,24790,24907,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.61,111804,111891,ref-sifre-d.64.2.2,ref-sifre-d.64.3.1,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן בכהן כשר ובכלי ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן שלמים בכל ,21,17,425,411.0,49,24.0,0.48148148148148145,0.6153846153846154,64,נאמר כאן ה ונאמר להן ה מה ה האמור להלן שלי אף ה האמור כאן ש בכל ,0.40740740740740744,4060000025
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,114083,114162,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,18,15,454,441.0,33,24.0,0.46236559139784944,0.5833333333333333,59,נאמר כאן ה ונאמר להלן ה מה ה האמור להלן שלי אף ה האמור כאן ,0.3655913978494624,4060000026
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.86.6.4-ref-sifre-d.86.6.18,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,131038,131119,ref-sifre-d.86.6.4,ref-sifre-d.86.6.18,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף הדחה האמורה כאן ,18,15,606,592.0,34,24.0,0.43010752688172044,0.5833333333333333,58,נאמר כאן ה ונאמר להלן ה מה ה האמור להלן בי אף ה האמור כאן ,0.3763440860215054,4060000027
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.90.2.4-ref-sifre-d.90.2.19,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,133022,133105,ref-sifre-d.90.2.4,ref-sifre-d.90.2.19,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף הדחה האמורה כאן ,18,16,666,651.0,35,24.0,0.3763440860215054,0.5833333333333333,61,נאמר כאן ה ונאמר להלן ה מה ה האמור להלן כן בי אף ה האמור כאן ,0.34408602150537637,4060000028
ref-sifra.2.4-00.4.40-ref-sifra.2.4-00.4.62,ref-sifre-d.103.3.7-ref-sifre-d.103.3.35,24786,24911,ref-sifra.2.4-00.4.40,ref-sifra.2.4-00.4.62,141103,141239,ref-sifre-d.103.3.7,ref-sifre-d.103.3.35,"להלן עשה את כל האמור בנשר עם הנשר בל תאכיל כ""בל תאכל אף נשר האמור כאן עשה כל האמור בנשר",נאמר כאן נשר ונאמר להלן נשר מה נשר האמור להלן עשה את כל,20,13,804,804.0,27,27.0,0.632183908045977,0.46153846153846156,35,א כא נשר נר לל   נשר האמור ן עשה א ,0.5977011494252873,4060000029
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.107.18.9-ref-sifre-d.107.18.25,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,147570,147656,ref-sifre-d.107.18.9,ref-sifre-d.107.18.25,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה כאן להלן שלמים אף שמחה האמורה להלן כאן ,18,17,869,842.0,36,24.0,0.5053763440860215,0.5833333333333333,59,נאמר כאן ה ונאמר להלן ה מה ה האמורה כהן שלי אף ה האמור כאן ,0.3655913978494624,4060000030
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.111.1.12-ref-sifre-d.111.1.28,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,150177,150259,ref-sifre-d.111.1.12,ref-sifre-d.111.1.28,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן קץ ונאמר להלן קץ מה קץ האמור להלן בסופה ולא בתחילתה אף קץ האמור כאן ,18,17,976,962.0,37,24.0,0.3978494623655914,0.6428571428571428,59,נאמר כאן  ונאמר להלן  מה  האמור להלן בה ול ת אף  האמור כאן ,0.3655913978494624,4060000031
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.122.3.2-ref-sifre-d.122.3.16,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,159571,159646,ref-sifre-d.122.3.2,ref-sifre-d.122.3.16,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן אזנו ונאמר להלן אזנו מה אזנו האמור להלן ימנית אף אזנו האמור כאן ,18,15,1061,1044.0,38,24.0,0.3763440860215054,0.5833333333333333,58,נאמר כאן ו ונאמר להלן ו מה ו האמור להלן ית אף ו האמור כאן ,0.3763440860215054,4060000032
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.138.1.6-ref-sifre-d.138.1.20,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,170273,170350,ref-sifre-d.138.1.6,ref-sifre-d.138.1.20,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,18,15,1188,1174.0,39,24.0,0.44086021505376344,0.5833333333333333,59,נאמר כאן ה ונאמר להלן ה מה ה האמור להלן שלי אף ה האמור כאן ,0.3655913978494624,4060000033
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.149.4.17-ref-sifre-d.149.4.37,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,179575,179681,ref-sifre-d.149.4.17,ref-sifre-d.149.4.37,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן שעריך ונאמר להלן שעריך מה שעריך האמור להלן שער_שנמצאו_בו_ולא_שער שנדונו בו אף שעריך האמור כאן ,18,17,1280,1261.0,40,24.0,0.47572815533980584,0.6153846153846154,63,נאמר כאן י ונאמר להלן י מה י האמור להלן שרובלשר אף י האמור כאן ,0.38834951456310685,4060000034
ref-sifra.2.4-00.4.38-ref-sifra.2.4-00.4.49,ref-sifre-d.190.3.19-ref-sifre-d.190.3.29,24775,24842,ref-sifra.2.4-00.4.38,ref-sifra.2.4-00.4.49,201404,201458,ref-sifre-d.190.3.19,ref-sifre-d.190.3.29,כשר ובכלי שרת נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור ,כשרה לעדות נאמר כאן שני ונאמר להלן שני מה שני האמור ,12,11,1358,1357.0,24,24.0,0.3968253968253968,0.5,42,כשר לת נאמר כאן י ונאמר להלן י מה י האמור ,0.33333333333333337,4060000035
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.194.6.12-ref-sifre-d.194.6.26,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,206415,206485,ref-sifre-d.194.6.12,ref-sifre-d.194.6.26,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן אחר ונאמר להלן אחר מה אחר האמור להלן נכרי אף אחר האמור כאן ,18,15,1418,1395.0,41,24.0,0.40860215053763443,0.5833333333333333,55,נאמר כאן  ונאמר להלן  מה  האמור להלן כרי אף  האמור כאן ,0.4086021505376344,4060000036
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.195.7.13-ref-sifre-d.195.7.27,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,206965,207035,ref-sifre-d.195.7.13,ref-sifre-d.195.7.27,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן אחר ונאמר להלן אחר מה אחר האמור להלן נכרי אף אחר האמור כאן ,18,15,1475,1452.0,42,24.0,0.40860215053763443,0.5833333333333333,55,נאמר כאן  ונאמר להלן  מה  האמור להלן כרי אף  האמור כאן ,0.4086021505376344,4060000037
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.261.2.25-ref-sifre-d.261.2.41,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,251413,251503,ref-sifre-d.261.2.25,ref-sifre-d.261.2.41,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן תועבה ונאמר להלן תועבה מה תועבה האומר להלן בשם זובח בזובח אף תועבה האמורה כאן ,18,17,1701,1688.0,43,24.0,0.41935483870967744,0.6153846153846154,61,נאמר כאן ו ונאמר להלן ו מה ו האור להלן בש וב  אף ו האמור כאן ,0.34408602150537637,4060000038
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.264.1.5-ref-sifre-d.264.1.20,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,252869,252945,ref-sifre-d.264.1.5,ref-sifre-d.264.1.20,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף נדר האמור כאן ,18,16,1758,1739.0,44,24.0,0.40860215053763443,0.5833333333333333,56,נאמר כאן  ונאמר להלן  מה  האמור להלן ר וב אף  האמור כאן ,0.3978494623655914,4060000039
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.58,ref-sifre-d.284.6.4-ref-sifre-d.284.6.24,24790,24890,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.58,268085,268188,ref-sifre-d.284.6.4,ref-sifre-d.284.6.24,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן גר יתום ונאמר להלן גר יתום מה גר יתום האמור להלן בעושה פחות מסאתים אף גר ויתום האמור כאן ,18,21,1830,1819.0,45,24.0,0.3979591836734694,0.6666666666666667,66,נאמר כאן יו ונאמר להלן יו מה יו האמור להלן בש ו ת אף יו האמור כאן ,0.326530612244898,4060000040
