baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-mek,dam-lev,jac,id
ref-mek.2.3.3.204-ref-mek.2.3.3.217,ref-bible.0206.6.20.4-ref-bible.206.6.20.17,106830,106899,ref-mek.2.3.3.204,ref-mek.2.3.3.217,726882,726957,ref-bible.0206.6.20.4,ref-bible.0206.6.20.17,ויאמר ה' פקח נא את עיניו ויראה ויפקח עיי את עיני הנער וירא והנה ,ויאמר אלישע יהוה פקח את עיני אלה ויראו ויפקח יהוה את עיניהם ויראו והנה ,14,14,1054,1054.0,437,433.0,0.36619718309859156,0.5,3090000369
ref-mek.2.3.3.186-ref-mek.2.3.3.195,ref-bible.0220.1.9.1-ref-bible.220.1.9.11,106738,106789,ref-mek.2.3.3.186,ref-mek.2.3.3.195,1131827,1131879,ref-bible.0220.1.9.1,ref-bible.0220.1.9.11,ויאמר נערו אליו אהה אדוני איכה נעשה ויאמר אל תירא ,ואמר מה אלה אדני ויאמר אלי המלאך הדבר בי אני אראך ,10,11,1352,1352.0,435,433.0,0.66,0.7272727272727273,3090000370
ref-mek.2.3.3.193-ref-mek.2.3.3.201,ref-bible.0310.2.17.1-ref-bible.310.2.17.7,106775,106815,ref-mek.2.3.3.193,ref-mek.2.3.3.201,1395694,1395730,ref-bible.0310.2.17.1,ref-bible.0310.2.17.7,ויאמר אל תירא כי רבים אשר אתנו מאשר אתם ,ואומר אלהם אתם ראים הרעה אשר אנחנו ,9,7,1578,1578.0,436,433.0,0.55,0.7272727272727273,3090000371
ref-mek.2.3.3.243-ref-mek.2.3.3.247,ref-bible.0301.18.13.2-ref-bible.301.18.13.7,107034,107057,ref-mek.2.3.3.243,ref-mek.2.3.3.247,1161202,1161230,ref-bible.0301.18.13.2,ref-bible.0301.18.13.7,נגדו עברו ברד וגחלי אש ,נגדו עביו עברו ברד וגחלי אש ,5,6,1376,1376.0,438,438.0,0.17857142857142858,0.16666666666666663,3090000372
ref-mek.2.3.3.273-ref-mek.2.3.3.287,ref-bible.0204.22.14.5-ref-bible.204.22.15.5,107199,107290,ref-mek.2.3.3.273,ref-mek.2.3.3.287,638150,638197,ref-bible.0204.22.14.5,ref-bible.0204.22.15.5,ועליון יתן קולו כנגד צחצוח חרבות שלהם וישלח חציו ויפיצם כנגד חצים שלהם וברקים ויהומם כנ,ועליון יתן קולו וישלח חצים ויפיצם ברק ויהמם ,16,8,1015,1015.0,439,439.0,0.5057471264367817,0.5,3090000373
ref-mek.2.3.3.273-ref-mek.2.3.3.287,ref-bible.0301.18.14.4-ref-bible.301.18.15.6,107199,107290,ref-mek.2.3.3.273,ref-mek.2.3.3.287,1161249,1161316,ref-bible.0301.18.14.4,ref-bible.0301.18.15.6,ועליון יתן קולו כנגד צחצוח חרבות שלהם וישלח חציו ויפיצם כנגד חצים שלהם וברקים ויהומם כנ,ועליון יתן קלו ברד וגחלי אש וישלח חציו ויפיצם וברקים רב ויהמם ,16,12,1377,1377.0,440,439.0,0.42528735632183906,0.5294117647058824,3090000374
ref-mek.2.3.3.341-ref-mek.2.3.3.352,ref-bible.0102.14.13.16-ref-bible.102.14.13.27,107579,107635,ref-mek.2.3.3.341,ref-mek.2.3.3.352,133673,133728,ref-bible.0102.14.13.16,ref-bible.0102.14.13.27,כי אשר ראיתם את מצרים היום לא תוסיפו לראותם עוד עד עולם ,כי אשר ראיתם את מצרים היום לא תסיפו לראתם עוד עד עולם ,12,12,249,248.0,441,441.0,0.03571428571428571,0.0,3090000375
ref-mek.2.3.3.342-ref-mek.2.3.3.349,ref-bible.0105.28.67.17-ref-bible.105.28.68.12,107582,107623,ref-mek.2.3.3.342,ref-mek.2.3.3.349,398047,398120,ref-bible.0105.28.67.17,ref-bible.0105.28.68.12,אשר ראיתם את מצרים היום לא תוסיפו לראותם ,אשר תראה והשיבך יהוה מצרים באניות בדרך אשר אמרתי לך לא תסיף עוד לראתה ,8,14,900,900.0,442,441.0,0.5857142857142857,0.7857142857142857,3090000376
ref-mek.2.3.3.353-ref-mek.2.3.3.359,ref-bible.0105.17.16.15-ref-bible.105.17.16.22,107636,107672,ref-mek.2.3.3.353,ref-mek.2.3.3.359,375886,375922,ref-bible.0105.17.16.15,ref-bible.0105.17.16.22,ואומר לא תוסיפו לשוב בדרך הזה עוד ,אמר לכם לא תספון לשוב בדרך הזה עוד ,7,8,879,879.0,443,443.0,0.2571428571428571,0.375,3090000377
ref-mek.2.3.3.385-ref-mek.2.3.3.397,ref-bible.0208.25.15.16-ref-bible.208.25.16.7,107828,107890,ref-mek.2.3.3.385,ref-mek.2.3.3.397,913932,914015,ref-bible.0208.25.15.16,ref-bible.0208.25.16.7,חרב אשר אתם יראים ממנה שם תשיג אתכם בארץ מצרים והחרב אשר אתם ,אתו את כל הגוים אשר אנכי שלח אותך אליהם ושתו והתגעשו והתהללו מפני החרב אשר אנכי ,13,16,1215,1215.0,445,444.0,0.6375,0.9047619047619048,3090000378
ref-mek.2.3.3.384-ref-mek.2.3.3.405,ref-bible.0208.42.16.1-ref-bible.208.42.16.22,107821,107934,ref-mek.2.3.3.384,ref-mek.2.3.3.405,954323,954436,ref-bible.0208.42.16.1,ref-bible.0208.42.16.22,והיתה חרב אשר אתם יראים ממנה שם תשיג אתכם בארץ מצרים והחרב אשר אתם דואגים ממנו שם ידבק אחריכם מצרים ושם תמותו ,והיתה החרב אשר אתם יראים ממנה שם תשיג אתכם בארץ מצרים והרעב אשר אתם דאגים ממנו שם ידבק אחריכם מצרים ושם תמתו ,22,22,1234,1234.0,444,444.0,0.045454545454545456,0.0625,3090000379
ref-mek.2.3.3.449-ref-mek.2.3.3.465,ref-bible.0101.41.55.10-ref-bible.101.41.55.19,108171,108251,ref-mek.2.3.3.449,ref-mek.2.3.3.465,85260,85307,ref-bible.0101.41.55.10,ref-bible.0101.41.55.19,אל הים נאמר להם התיצבו וראו את ישועת ה' זו שאמרה נשוב למצרים נאמר להם כי אשר ,ויאמר פרעה לכל מצרים לכו אל יוסף אשר יאמר לכם ,17,10,80,80.0,446,446.0,0.6883116883116883,0.8421052631578947,3090000380
ref-mek.2.3.3.453-ref-mek.2.3.3.468,ref-bible.0102.14.13.7-ref-bible.102.14.13.20,108188,108266,ref-mek.2.3.3.453,ref-mek.2.3.3.468,133627,133694,ref-bible.0102.14.13.7,ref-bible.0102.14.13.20,התיצבו וראו את ישועת ה' זו שאמרה נשוב למצרים נאמר להם כי אשר ראיתם את מצרים ,התיצבו וראו את ישועת יהוה אשר יעשה לכם היום כי אשר ראיתם את מצרים ,16,14,248,248.0,447,446.0,0.3026315789473684,0.5,3090000381
ref-mek.2.3.4.83-ref-mek.2.3.4.97,ref-bible.0207.24.23.14-ref-bible.207.25.1.13,108795,108870,ref-mek.2.3.4.83,ref-mek.2.3.4.97,807823,807891,ref-bible.0207.24.23.14,ref-bible.0207.25.1.13,כבודך ואומר ה' אלהי אתה ארוממך אודה שמך כי עשית פלא עצות מרחוק אמונה אומן ,כבוד יהוה אלהי אתה ארוממך אודה שמך כי עשית פלא עצות מרחוק אמונה אמן ,15,14,1094,1094.0,450,448.0,0.10810810810810811,0.2857142857142857,3090000382
ref-mek.2.3.4.76-ref-mek.2.3.4.83,ref-bible.0301.57.6.1-ref-bible.301.57.6.8,108762,108800,ref-mek.2.3.4.76,ref-mek.2.3.4.83,1189899,1189936,ref-bible.0301.57.6.1,ref-bible.0301.57.6.8,רומה על השמים אלהים על כל הארץ כבודך ,רומה על השמים אלהים על כל הארץ כבודך ,8,8,1399,1399.0,448,448.0,0.0,0.0,3090000383
ref-mek.2.3.4.76-ref-mek.2.3.4.83,ref-bible.0301.57.12.1-ref-bible.301.57.12.8,108762,108800,ref-mek.2.3.4.76,ref-mek.2.3.4.83,1190136,1190171,ref-bible.0301.57.12.1,ref-bible.0301.57.12.8,רומה על השמים אלהים על כל הארץ כבודך ,רומה על שמים אלהים על כל הארץ כבודך ,8,8,1400,1400.0,449,448.0,0.02702702702702703,0.0,3090000384
ref-mek.2.4.1.103-ref-mek.2.4.1.106,ref-bible.0207.51.9.1-ref-bible.207.51.9.4,109438,109457,ref-mek.2.4.1.103,ref-mek.2.4.1.106,846889,846906,ref-bible.0207.51.9.1,ref-bible.0207.51.9.4,עורי עורי לבשי עוזך ,עורי עורי לבשי עז ,4,4,1146,1146.0,451,451.0,0.1,0.5,3090000385
ref-mek.2.4.1.103-ref-mek.2.4.1.121,ref-bible.0207.52.1.1-ref-bible.207.52.1.19,109438,109528,ref-mek.2.4.1.103,ref-mek.2.4.1.121,847995,848085,ref-bible.0207.52.1.1,ref-bible.0207.52.1.19,עורי עורי לבשי עוזך ציון לבשי בגדי תפארתך ירושלם עיר הקדש כי לא יוסיף יבא בך עוד ערל וטמא ,עורי עורי לבשי עזך ציון לבשי בגדי תפארתך ירושלם עיר הקדש כי לא יוסיף יבא בך עוד ערל וטמא ,19,19,1150,1149.0,452,451.0,0.011111111111111112,0.0,3090000386
ref-mek.2.4.1.123-ref-mek.2.4.1.154,ref-bible.0207.51.9.1-ref-bible.207.51.10.14,109536,109692,ref-mek.2.4.1.123,ref-mek.2.4.1.154,846889,847047,ref-bible.0207.51.9.1,ref-bible.0207.51.10.14,עורי עורי לבשי עוז זרוע ה' עורי כימי קדם דורות עולמים הלא את היא המחצבת רהב מחוללת תנין הלא את היא המחרבת ים מי תהום רבה השמה מעמקי ים דרך לעבור גאולים ,עורי עורי לבשי עז זרוע יהוה עורי כימי קדם דרות עולמים הלוא את היא המחצבת רהב מחוללת תנין הלוא את היא המחרבת ים מי תהום רבה השמה מעמקי ים דרך לעבר גאולים ,32,32,1147,1146.0,454,453.0,0.05228758169934641,0.045454545454545414,3090000387
ref-mek.2.4.1.123-ref-mek.2.4.1.126,ref-bible.0207.52.1.1-ref-bible.207.52.1.4,109536,109554,ref-mek.2.4.1.123,ref-mek.2.4.1.126,847995,848013,ref-bible.0207.52.1.1,ref-bible.0207.52.1.4,עורי עורי לבשי עוז ,עורי עורי לבשי עזך ,4,4,1149,1149.0,453,453.0,0.10526315789473684,0.5,3090000388
ref-mek.2.4.1.165-ref-mek.2.4.1.175,ref-bible.0101.28.13.18-ref-bible.101.28.14.7,109750,109807,ref-mek.2.4.1.165,ref-mek.2.4.1.175,53381,53438,ref-bible.0101.28.13.18,ref-bible.0101.28.14.7,לכם את הים שנאמר והיה זרעך כעפר הארץ ופרצת ימה וקדמה ,לך אתננה ולזרעך והיה זרעך כעפר הארץ ופרצת ימה וקדמה ,11,10,58,58.0,455,455.0,0.22641509433962265,0.5,3090000389
ref-mek.2.4.1.200-ref-mek.2.4.1.212,ref-bible.0102.14.29.1-ref-bible.102.14.29.9,109928,109992,ref-mek.2.4.1.200,ref-mek.2.4.1.212,134914,134962,ref-bible.0102.14.29.1,ref-bible.0102.14.29.9,ובני ישראל הלכו ביבשה בתוך הים ר' שמעון בן יוחאי אומר כבר חמה ,ובני ישראל הלכו ביבשה בתוך הים והמים להם חמה ,13,9,271,271.0,457,456.0,0.3709677419354839,0.5384615384615384,3090000390
ref-mek.2.4.1.198-ref-mek.2.4.1.205,ref-bible.0102.15.19.13-ref-bible.102.15.19.19,109916,109961,ref-mek.2.4.1.198,ref-mek.2.4.1.205,136131,136169,ref-bible.0102.15.19.13,ref-bible.0102.15.19.19,הים לחרבה ובני ישראל הלכו ביבשה בתוך הים ,הים ובני ישראל הלכו ביבשה בתוך הים ,8,7,303,300.0,456,456.0,0.14634146341463414,0.16666666666666663,3090000391
ref-mek.2.4.1.225-ref-mek.2.4.1.237,ref-bible.0208.31.35.4-ref-bible.208.31.35.16,110049,110120,ref-mek.2.4.1.225,ref-mek.2.4.1.237,928973,929040,ref-bible.0208.31.35.4,ref-bible.0208.31.35.16,נותן שמש לאור יומם חוקות ירח וכוכבים לאור לילה רוגע הים ויהמו גליו ,נתן שמש לאור יומם חקת ירח וכוכבים לאור לילה רגע הים ויהמו גליו ,13,13,1221,1221.0,458,458.0,0.05970149253731343,0.16666666666666663,3090000392
ref-mek.2.4.1.275-ref-mek.2.4.1.282,ref-bible.0208.33.25.6-ref-bible.208.33.25.13,110305,110347,ref-mek.2.4.1.275,ref-mek.2.4.1.282,935445,935486,ref-bible.0208.33.25.6,ref-bible.0208.33.25.13,בריתי יומם ולילה חוקות שמים וארץ לא שמתי ,בריתי יומם ולילה חקות שמים וארץ לא שמתי ,8,8,1227,1227.0,459,459.0,0.024390243902439025,0.0,3090000393
ref-mek.2.4.1.401-ref-mek.2.4.1.409,ref-bible.0207.63.12.6-ref-bible.207.63.12.12,110959,110999,ref-mek.2.4.1.401,ref-mek.2.4.1.409,861218,861250,ref-bible.0207.63.12.6,ref-bible.0207.63.12.12,בוקע מים מפניהם מפני מה לעשות לו שם עולם ,בוקע מים מפניהם לעשות לו שם עולם ,9,7,1175,1175.0,460,460.0,0.1951219512195122,0.16666666666666663,3090000394
ref-mek.2.4.1.439-ref-mek.2.4.1.447,ref-bible.0301.105.42.1-ref-bible.301.105.43.3,111146,111190,ref-mek.2.4.1.439,ref-mek.2.4.1.447,1226899,1226949,ref-bible.0301.105.42.1,ref-bible.0301.105.43.3,כי זכר את דבר קדשו וכתיב ויוציא עמו בששון ,כי זכר את דבר קדשו את אברהם עבדו ויוצא עמו בששון ,9,11,1458,1458.0,461,461.0,0.2653061224489796,0.30000000000000004,3090000395
ref-mek.2.4.1.631-ref-mek.2.4.1.637,ref-bible.0103.18.18.1-ref-bible.103.18.18.9,112145,112177,ref-mek.2.4.1.631,ref-mek.2.4.1.637,229816,229858,ref-bible.0103.18.18.1,ref-bible.0103.18.18.9,ואשה אל אחותה לא תקח לצרור ועל ,ואשה אל אחתה לא תקח לצרר לגלות ערותה עליה ,7,9,677,677.0,462,462.0,0.3333333333333333,0.25,3090000396
ref-mek.2.4.1.643-ref-mek.2.4.1.654,ref-bible.0301.106.23.1-ref-bible.301.106.23.11,112201,112272,ref-mek.2.4.1.643,ref-mek.2.4.1.654,1227881,1227945,ref-bible.0301.106.23.1,ref-bible.0301.106.23.11,שנאמר ויאמר להשמידם לולי משה בחירו עמד בפרץ לפניו להשיב חמתו מהשחית ,ויאמר להשמידם לולי משה בחירו עמד בפרץ לפניו להשיב חמתו מהשחית ,12,11,1467,1467.0,463,463.0,0.08823529411764706,0.08333333333333337,3090000397
ref-mek.2.4.1.679-ref-mek.2.4.1.686,ref-bible.0207.45.11.6-ref-bible.207.45.11.14,112389,112428,ref-mek.2.4.1.679,ref-mek.2.4.1.686,839007,839054,ref-bible.0207.45.11.6,ref-bible.0207.45.11.14,צריך ציוויי על בני ועל פועל ידי תצווני ,ויצרו האתיות שאלוני על בני ועל פעל ידי תצוני ,8,9,1133,1133.0,464,464.0,0.3333333333333333,0.5,3090000398
ref-mek.2.4.1.696-ref-mek.2.4.1.711,ref-bible.0208.31.36.1-ref-bible.208.31.36.15,112479,112563,ref-mek.2.4.1.696,ref-mek.2.4.1.711,929056,929137,ref-bible.0208.31.36.1,ref-bible.0208.31.36.15,אם ימושו החקים האלה מלפני אני ה' גם את ישראל לא ישבתי מהיות גוי מלפני כל הימים ,אם ימשו החקים האלה מלפני נאם יהוה גם זרע ישראל ישבתו מהיות גוי לפני כל הימים ,17,16,1222,1222.0,465,465.0,0.17721518987341772,0.3571428571428571,3090000399
ref-mek.2.4.1.747-ref-mek.2.4.1.780,ref-bible.0208.2.2.1-ref-bible.208.2.3.12,112752,112925,ref-mek.2.4.1.747,ref-mek.2.4.1.780,867724,867893,ref-bible.0208.2.2.1,ref-bible.0208.2.3.12,הלוך וקראת באזני ירושלם לאמר זכרתי לך חסד נעוריך אהבת כלולותיך לכתך אחרי במדבר בארץ לא זרועה מה שכר נטלו על כך קדש ישראל לה' ראשית תבואתו כל אוכל יאשמו רעה תבא עליהם נאם ,הלך וקראת באזני ירושלם לאמר כה אמר יהוה זכרתי לך חסד נעוריך אהבת כלולתיך לכתך אחרי במדבר בארץ לא זרועה קדש ישראל ליהוה ראשית תבואתה כל אכליו יאשמו רעה תבא אליהם נאם ,34,32,1182,1182.0,466,466.0,0.23529411764705882,0.1875,3090000400
ref-mek.2.4.1.795-ref-mek.2.4.1.812,ref-bible.0101.22.9.18-ref-bible.101.22.10.10,113000,113099,ref-mek.2.4.1.795,ref-mek.2.4.1.812,37487,37577,ref-bible.0101.22.9.18,ref-bible.0101.22.10.10,יצחק הבנוי עליו ונתון על המזבח ואברהם כאלו פושט ידו ולקח את המאכלת לשחוט את בנו שנאמר וישלח ,יצחק בנו וישם אתו על המזבח ממעל לעצים וישלח אברהם את ידו ויקח את המאכלת לשחט את בנו ,18,18,43,43.0,467,467.0,0.4782608695652174,0.5,3090000401
ref-mek.2.4.1.844-ref-mek.2.4.1.851,ref-bible.0102.7.19.7-ref-bible.102.7.19.13,113264,113295,ref-mek.2.4.1.844,ref-mek.2.4.1.851,118123,118153,ref-bible.0102.7.19.7,ref-bible.0102.7.19.13,הרם את מטך ונטה את ידך על הים ,אהרן קח מטך ונטה ידך על מימי ,8,7,149,149.0,468,468.0,0.3333333333333333,0.5555555555555556,3090000402
ref-mek.2.4.1.844-ref-mek.2.4.1.851,ref-bible.0102.14.16.2-ref-bible.102.14.16.9,113264,113295,ref-mek.2.4.1.844,ref-mek.2.4.1.851,133818,133849,ref-bible.0102.14.16.2,ref-bible.0102.14.16.9,הרם את מטך ונטה את ידך על הים ,הרם את מטך ונטה את ידך על הים ,8,8,251,250.0,469,468.0,0.0,0.0,3090000403
ref-mek.2.5.1.1-ref-mek.2.5.1.11,ref-bible.0102.14.16.1-ref-bible.102.14.16.10,113396,113448,ref-mek.2.5.1.1,ref-mek.2.5.1.11,133812,133857,ref-bible.0102.14.16.1,ref-bible.0102.14.16.10,ואתה הרם את מטך עשרה נסים נעשו לישראל על הים נבקע ,ואתה הרם את מטך ונטה את ידך על הים ובקעהו ,11,10,250,250.0,470,470.0,0.4,0.5454545454545454,3090000404
ref-mek.2.5.1.28-ref-mek.2.5.1.33,ref-bible.0102.14.16.4-ref-bible.102.14.16.10,113541,113567,ref-mek.2.5.1.28,ref-mek.2.5.1.33,133825,133857,ref-bible.0102.14.16.4,ref-bible.0102.14.16.10,נטה את ידך על הים ובקעהו ,מטך ונטה את ידך על הים ובקעהו ,6,7,252,250.0,471,471.0,0.16666666666666666,0.4285714285714286,3090000405
ref-mek.2.5.1.55-ref-mek.2.5.1.67,ref-bible.0301.74.13.1-ref-bible.301.74.13.9,113683,113751,ref-mek.2.5.1.55,ref-mek.2.5.1.67,1202680,1202724,ref-bible.0301.74.13.1,ref-bible.0301.74.13.9,אתה פוררת בעזך ים נעשה סלעים סלעים שנאמר שברת ראשי תנינים על המים ,אתה פוררת בעזך ים שברת ראשי תנינים על המים ,13,9,1413,1413.0,472,472.0,0.3484848484848485,0.2727272727272727,3090000406
ref-mek.2.5.1.80-ref-mek.2.5.1.91,ref-bible.0102.15.8.1-ref-bible.102.15.8.8,113823,113882,ref-mek.2.5.1.80,ref-mek.2.5.1.91,135520,135559,ref-bible.0102.15.8.1,ref-bible.0102.15.8.8,וברוח אפיך נערמו מים נעשו כמו נד שנאמר נצבו כמו נד נוזלים ,וברוח אפיך נערמו מים נצבו כמו נד נזלים ,12,8,285,285.0,473,473.0,0.3275862068965517,0.2222222222222222,3090000407
ref-mek.2.5.1.98-ref-mek.2.5.1.103,ref-bible.0301.78.16.1-ref-bible.301.78.16.6,113919,113956,ref-mek.2.5.1.98,ref-mek.2.5.1.103,1205628,1205666,ref-bible.0301.78.16.1,ref-bible.0301.78.16.6,ויצא נוזלים מסלע ויורד כנהרות מים ,ויוצא נוזלים מסלע ויורד כנהרות מים ,6,6,1421,1421.0,474,474.0,0.02857142857142857,0.0,3090000408
ref-mek.2.5.2.67-ref-mek.2.5.2.76,ref-bible.0210.11.3.1-ref-bible.210.11.3.10,114412,114468,ref-mek.2.5.2.67,ref-mek.2.5.2.76,1089669,1089725,ref-bible.0210.11.3.1,ref-bible.0210.11.3.10,ואנכי תרגלתי לאפרים קחם על זרועותי ולא ידעו כי רפאתים ,ואנכי תרגלתי לאפרים קחם על זרועתיו ולא ידעו כי רפאתים ,10,10,1324,1324.0,475,475.0,0.037037037037037035,0.0,3090000409
ref-mek.2.5.2.83-ref-mek.2.5.2.91,ref-bible.0301.105.38.7-ref-bible.301.105.39.6,114501,114547,ref-mek.2.5.2.83,ref-mek.2.5.2.91,1226796,1226831,ref-bible.0301.105.38.7,ref-bible.0301.105.39.6,עליו בגדו שנאמר פרש ענן למסך ואש להאיר לילה ,עליהם פרש ענן למסך ואש להאיר לילה ,9,7,1456,1456.0,476,476.0,0.2727272727272727,0.4,3090000410
ref-mek.2.5.2.92-ref-mek.2.5.2.99,ref-bible.0102.16.3.30-ref-bible.102.16.4.9,114548,114596,ref-mek.2.5.2.92,ref-mek.2.5.2.99,137119,137172,ref-bible.0102.16.3.30,ref-bible.0102.16.4.9,הרעיב האכילו שנאמר הנני ממטיר לכם לחם מן השמים ,ברעב ויאמר יהוה אל משה הנני ממטיר לכם לחם מן השמים ,9,11,318,317.0,477,477.0,0.27450980392156865,0.41666666666666663,3090000411
ref-mek.2.5.2.114-ref-mek.2.5.2.119,ref-bible.0304.4.15.1-ref-bible.304.4.15.6,114674,114705,ref-mek.2.5.2.114,ref-mek.2.5.2.119,1337330,1337360,ref-bible.0304.4.15.1,ref-bible.0304.4.15.6,מעין גנים באר מים חיים ונוזלים ,מעין גנים באר מים חיים ונזלים ,6,6,1556,1556.0,478,478.0,0.03225806451612903,0.0,3090000412
ref-mek.2.5.2.122-ref-mek.2.5.2.127,ref-bible.0302.5.15.1-ref-bible.302.5.15.6,114718,114751,ref-mek.2.5.2.122,ref-mek.2.5.2.127,1260816,1260848,ref-bible.0302.5.15.1,ref-bible.0302.5.15.6,שתה מים מבורך ונוזלים מתוך בארך ,שתה מים מבורך ונזלים מתוך בארך ,6,6,1501,1501.0,479,479.0,0.03125,0.0,3090000413
ref-mek.2.5.2.178-ref-mek.2.5.3.10,ref-bible.0102.14.20.1-ref-bible.0102.14.20.10,114995,115057,ref-mek.2.5.2.178,ref-mek.2.5.3.10,134127,134183,ref-bible.0102.14.20.1,ref-bible.0102.14.20.10,ויבא בין מחנה מצרים ובין מחנה ישראל ויהי הענן והחשך,ויבא בין מחנה מצרים ובין מחנה ישראל ויהי הענן והחשך,11,10,254,254.0,480,480.0,0.0,0.0,3090000414
ref-mek.2.5.3.22-ref-mek.2.5.3.32,ref-bible.0102.10.23.1-ref-bible.102.10.23.11,115124,115172,ref-mek.2.5.3.22,ref-mek.2.5.3.32,125804,125852,ref-bible.0102.10.23.1,ref-bible.0102.10.23.11,לא ראו איש את אחיו ולא קמו איש מתחתיו שלשת ימים ,לא ראו איש את אחיו ולא קמו איש מתחתיו שלשת ימים ,11,11,153,153.0,482,482.0,0.0,0.0,3090000415
ref-mek.2.5.3.38-ref-mek.2.5.3.61,ref-bible.0207.60.1.1-ref-bible.207.60.2.13,115198,115314,ref-mek.2.5.3.38,ref-mek.2.5.3.61,857047,857159,ref-bible.0207.60.1.1,ref-bible.0207.60.2.13,קומו אורי כי בא אורך וכבוד ה' עליך זרח מפני מה כי הנה החשך יכסה ארץ וערפל לאומים ועליך יזרח ה' וכבודו עליך יראה ,קומי אורי כי בא אורך וכבוד יהוה עליך זרח כי הנה החשך יכסה ארץ וערפל לאמים ועליך יזרח יהוה וכבודו עליך יראה ,24,22,1164,1164.0,483,483.0,0.14285714285714285,0.1428571428571429,3090000416
ref-mek.2.5.3.95-ref-mek.2.5.3.105,ref-bible.0101.15.1.10-ref-bible.101.15.2.1,115512,115564,ref-mek.2.5.3.95,ref-mek.2.5.3.105,23689,23739,ref-bible.0101.15.1.10,ref-bible.0101.15.2.1,שנאמר אל תירא אברם אנכי מגן לך שכרך הרבה מאד ואומר ,לאמר אל תירא אברם אנכי מגן לך שכרך הרבה מאד ויאמר ,11,11,20,20.0,484,484.0,0.0784313725490196,0.09090909090909094,3090000417
ref-mek.2.5.3.106-ref-mek.2.5.3.116,ref-bible.0204.22.3.5-ref-bible.204.22.4.3,115565,115632,ref-mek.2.5.3.106,ref-mek.2.5.3.116,637668,637730,ref-bible.0204.22.3.5,ref-bible.0204.22.4.3,מגיני וקרן ישעי משגבי ומנוסי מושיעי מחמס תושיעני ואומר מגן הוא ,מגני וקרן ישעי משגבי ומנוסי משעי מחמס תשעני מהלל אקרא יהוה ,11,11,1013,1013.0,485,485.0,0.25396825396825395,0.30000000000000004,3090000418
ref-mek.2.5.3.155-ref-mek.2.5.3.181,ref-bible.0102.14.20.3-ref-bible.102.14.21.6,115829,115954,ref-mek.2.5.3.155,ref-mek.2.5.3.181,134137,134251,ref-bible.0102.14.20.3,ref-bible.0102.14.21.6,חשך דבר אחר ולא קרב זה אל זה כל הלילה ולא קרב מחנה מצרים למחנה ישראל ולא מחנה ישראל למחנה מצרים ויט משה את ידו על הים ,מחנה מצרים ובין מחנה ישראל ויהי הענן והחשך ויאר את הלילה ולא קרב זה אל זה כל הלילה ויט משה את ידו על הים ,27,24,256,254.0,486,486.0,0.5847457627118644,0.3157894736842105,3090000419
ref-mek.2.5.3.343-ref-mek.2.5.3.359,ref-bible.0301.114.6.5-ref-bible.301.114.8.7,116756,116843,ref-mek.2.5.3.343,ref-mek.2.5.3.359,1233902,1233988,ref-bible.0301.114.6.5,ref-bible.0301.114.8.7,בן עמרם אלא מפני אדון חולי ארץ מלפני אלוה יעקב ההופכי הצור אגם מים חלמיש למעינו מים ,כבני צאן מלפני אדון חולי ארץ מלפני אלוה יעקב ההפכי הצור אגם מים חלמיש למעינו מים ,17,16,1470,1470.0,487,487.0,0.14285714285714285,0.3125,3090000420
ref-mek.2.5.4.1-ref-mek.2.5.4.9,ref-bible.0102.14.21.7-ref-bible.102.14.21.15,116844,116886,ref-mek.2.5.4.1,ref-mek.2.5.4.9,134252,134296,ref-bible.0102.14.21.7,ref-bible.0102.14.21.15,ויולך ה' את הים ברוח קדים עזה כל הלילה ,ויולך יהוה את הים ברוח קדים עזה כל הלילה ,9,9,257,257.0,488,488.0,0.07317073170731707,0.125,3090000421
ref-mek.2.5.4.34-ref-mek.2.5.4.39,ref-bible.0303.4.9.1-ref-bible.303.4.9.6,117013,117046,ref-mek.2.5.4.34,ref-mek.2.5.4.39,1295516,1295549,ref-bible.0303.4.9.1,ref-bible.0303.4.9.6,מנשמת אלוה יאבדו ומרוח אפו יכלו ,מנשמת אלוה יאבדו ומרוח אפו יכלו ,6,6,1514,1514.0,489,489.0,0.0,0.0,3090000422
ref-mek.2.5.4.40-ref-mek.2.5.4.48,ref-bible.0303.4.9.1-ref-bible.303.4.9.6,117047,117094,ref-mek.2.5.4.40,ref-mek.2.5.4.48,1295516,1295549,ref-bible.0303.4.9.1,ref-bible.0303.4.9.6,מנשמת אלוה יאבדו זה דור המבול ומרוח אפו יכלו ,מנשמת אלוה יאבדו ומרוח אפו יכלו ,9,6,1515,1514.0,490,490.0,0.28888888888888886,0.33333333333333337,3090000423
ref-mek.2.5.4.78-ref-mek.2.5.4.93,ref-bible.0208.18.17.1-ref-bible.208.18.18.1,117240,117325,ref-mek.2.5.4.78,ref-mek.2.5.4.93,901149,901213,ref-bible.0208.18.17.1,ref-bible.0208.18.18.1,ברוח קדים אפיצם לפני אויב עורף ולא פנים אראם ביום אידם וכן את מוצא במצרים שנאמר ,כרוח קדים אפיצם לפני אויב ערף ולא פנים אראם ביום אידם ויאמרו ,16,12,1209,1208.0,491,491.0,0.275,0.375,3090000424
