baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-mek,dam-lev,jac,id
ref-mek.5.2.1.302-ref-mek.5.2.1.334,ref-bible.0105.3.24.13-ref-bible.105.3.25.12,211569,211746,ref-mek.5.2.1.302,ref-mek.5.2.1.334,345376,345488,ref-bible.0105.3.24.13,ref-bible.0105.3.25.12,אשר מי אל בשמים ובארץ אשר יעשה כמעשיך וכגבורותיך כמעשיך על הים וכגבורותיך על נחלי ארנון אעברה נא ואראה ואין נא אלא לשון בקשה את הארץ הטובה זו ארץ ישראל ההר הטוב הזה ,אשר מי אל בשמים ובארץ אשר יעשה כמעשיך וכגבורתך אעברה נא ואראה את הארץ הטובה אשר בעבר הירדן ההר הטוב הזה ,33,21,814,814.0,965,965.0,0.4484848484848485,0.35,3090000832
ref-mek.5.2.1.422-ref-mek.5.2.1.430,ref-bible.0104.20.12.15-ref-bible.104.20.12.25,212176,212218,ref-mek.5.2.1.422,ref-mek.5.2.1.430,300539,300586,ref-bible.0104.20.12.15,ref-bible.0104.20.12.25,לכן לא תביאו את הקהל הזה במלכות אכנס לה ,לכן לא תביאו את הקהל הזה אל הארץ אשר נתתי להם ,9,11,759,759.0,966,966.0,0.30434782608695654,0.5833333333333333,3090000833
ref-mek.5.2.1.533-ref-mek.5.2.1.546,ref-bible.0104.32.5.12-ref-bible.104.32.6.3,212743,212810,ref-mek.5.2.1.533,ref-mek.5.2.1.546,326975,327011,ref-bible.0104.32.5.12,ref-bible.0104.32.6.3,לעבור אלא שאמרו לו למשה אף עצמותיך לא יעברו את הירדן ר' חנניה בן ,אל תעברנו את הירדן ויאמר משה לבני ,14,7,775,775.0,971,967.0,0.7230769230769231,0.8,3090000834
ref-mek.5.2.1.500-ref-mek.5.2.1.528,ref-bible.0105.4.22.1-ref-bible.0105.4.22.11,212586,212724,ref-mek.5.2.1.500,ref-mek.5.2.1.528,347708,347762,ref-bible.0105.4.22.1,ref-bible.0105.4.22.11,כי אנכי מת בארץ הזאת אינני עבר את הירדן ואתם עברים,כי אנכי מת בארץ הזאת אינני עבר את הירדן ואתם עברים,26,11,823,823.0,967,967.0,0.0,0.0,3090000835
ref-mek.5.2.1.507-ref-mek.5.2.1.537,ref-bible.0202.12.5.4-ref-bible.0202.12.5.15,212615,212768,ref-mek.5.2.1.507,ref-mek.5.2.1.537,494767,494837,ref-bible.0202.12.5.4,ref-bible.0202.12.5.15,מעברות הירדן לאפרים והיה כי יאמרו פליטי אפרים אעברה ויאמרו לו אנשי,מעברות הירדן לאפרים והיה כי יאמרו פליטי אפרים אעברה ויאמרו לו אנשי,31,12,958,958.0,969,969.0,0.0,0.0,3090000836
ref-mek.5.2.1.555-ref-mek.5.2.1.566,ref-bible.0105.4.21.14-ref-bible.0105.4.22.11,212849,212908,ref-mek.5.2.1.555,ref-mek.5.2.1.566,347668,347762,ref-bible.0105.4.21.14,ref-bible.0105.4.22.11,כי אנכי מת בארץ הזאת אינני עבר את הירדן ואתם עברים,הארץ הטובה אשר יהוה אלהיך נתן לך נחלה כי אנכי מת בארץ הזאת אינני עבר את הירדן ואתם עברים,12,19,822,822.0,972,972.0,0.4318181818181818,0.4285714285714286,3090000837
ref-mek.5.2.1.589-ref-mek.5.2.1.596,ref-bible.0105.9.20.1-ref-bible.105.9.20.9,213017,213061,ref-mek.5.2.1.589,ref-mek.5.2.1.596,359626,359676,ref-bible.0105.9.20.1,ref-bible.0105.9.20.9,ובאהרן התאנף ה' להשמידו ואתפלל גם בעד אהרן ,ובאהרן התאנף יהוה מאד להשמידו ואתפלל גם בעד אהרן ,8,9,852,852.0,974,974.0,0.14285714285714285,0.2222222222222222,3090000838
ref-mek.5.2.1.636-ref-mek.5.2.1.648,ref-bible.0101.13.14.9-ref-bible.101.13.14.21,213263,213327,ref-mek.5.2.1.636,ref-mek.5.2.1.648,21588,21651,ref-bible.0101.13.14.9,ref-bible.0101.13.14.21,שא נא עיניך וראה מן המקום אשר אתה שם צפונה ונגבה וקדמה וימה ,שא נא עיניך וראה מן המקום אשר אתה שם צפנה ונגבה וקדמה וימה ,13,13,15,15.0,975,975.0,0.016666666666666666,0.0,3090000839
ref-mek.5.2.1.653-ref-mek.5.2.1.663,ref-bible.0105.3.27.1-ref-bible.105.3.27.11,213347,213414,ref-mek.5.2.1.653,ref-mek.5.2.1.663,345587,345653,ref-bible.0105.3.27.1,ref-bible.0105.3.27.11,עלה ראש הפסגה ושא עיניך ימה וצפונה ותימנה ומזרחה וראה בעיניך ,עלה ראש הפסגה ושא עיניך ימה וצפנה ותימנה ומזרחה וראה בעיניך ,11,11,815,815.0,976,976.0,0.01639344262295082,0.0,3090000840
ref-mek.5.2.1.720-ref-mek.5.2.1.726,ref-bible.0202.13.2.1-ref-bible.202.13.2.8,213705,213745,ref-mek.5.2.1.720,ref-mek.5.2.1.726,495616,495660,ref-bible.0202.13.2.1,ref-bible.0202.13.2.8,ויהי איש מצרעה ממשפחת הדני ושמו מנוח ,ויהי איש אחד מצרעה ממשפחת הדני ושמו מנוח ,7,8,960,960.0,977,977.0,0.0975609756097561,0.1428571428571429,3090000841
ref-mek.5.2.1.804-ref-mek.5.2.1.810,ref-bible.0202.4.6.1-ref-bible.202.4.6.7,214142,214183,ref-mek.5.2.1.804,ref-mek.5.2.1.810,472123,472163,ref-bible.0202.4.6.1,ref-bible.0202.4.6.7,ותשלח ותקרא לברק בן אבינועם מקדש נפתלי ,ותשלח ותקרא לברק בן אבינעם מקדש נפתלי ,7,7,942,942.0,978,978.0,0.02564102564102564,0.0,3090000842
ref-mek.5.2.1.823-ref-mek.5.2.1.827,ref-bible.0104.13.8.1-ref-bible.104.13.8.5,214259,214281,ref-mek.5.2.1.823,ref-mek.5.2.1.827,283214,283236,ref-bible.0104.13.8.1,ref-bible.0104.13.8.5,למטה אפרים הושע בן נון ,למטה אפרים הושע בן נון ,5,5,740,740.0,979,979.0,0.0,0.0,3090000843
ref-mek.5.2.1.848-ref-mek.5.2.1.865,ref-bible.0312.28.4.1-ref-bible.0312.28.4.18,214401,214489,ref-mek.5.2.1.848,ref-mek.5.2.1.865,1510920,1511014,ref-bible.0312.28.4.1,ref-bible.0312.28.4.18,מכל בית אבי להיות למלך על ישראל לעולם כי ביהודה בחר לנגיד ובבית,ויבחר יהוה אלהי ישראל בי מכל בית אבי להיות למלך על ישראל לעולם כי ביהודה בחר לנגיד ובבית,18,17,1628,1628.0,980,980.0,0.2840909090909091,0.15384615384615385,3090000844
ref-mek.5.2.1.880-ref-mek.5.2.1.893,ref-bible.0101.50.5.16-ref-bible.0101.50.7.7,214567,214642,ref-mek.5.2.1.880,ref-mek.5.2.1.893,104118,104226,ref-bible.0101.50.5.16,ref-bible.0101.50.7.7,ויאמר פרעה עלה וקבר את אביך כאשר השביעך ויעל יוסף לקבר את אביו ויעלו אתו,אעלה נא ואקברה את אבי ואשובה ויאמר פרעה עלה וקבר את אביך כאשר השביעך ויעל יוסף לקבר את אביו ויעלו אתו,13,21,92,92.0,982,982.0,0.2871287128712871,0.09090909090909094,3090000845
ref-mek.5.2.1.893-ref-mek.5.2.1.897,ref-bible.0104.13.22.1-ref-bible.104.13.22.5,214636,214663,ref-mek.5.2.1.893,ref-mek.5.2.1.897,283876,283903,ref-bible.0104.13.22.1,ref-bible.0104.13.22.5,ויעלו בנגב ויבא עד חברון ,ויעלו בנגב ויבא עד חברון ,5,5,742,742.0,984,982.0,0.0,0.0,3090000846
ref-mek.5.2.1.904-ref-mek.5.2.1.915,ref-bible.0101.19.25.1-ref-bible.0101.19.25.7,214705,214764,ref-mek.5.2.1.904,ref-mek.5.2.1.915,32095,32130,ref-bible.0101.19.25.1,ref-bible.0101.19.25.7,ויהפך את הערים האל ואת כל הככר,ויהפך את הערים האל ואת כל הככר,10,7,37,37.0,985,985.0,0.0,0.0,3090000847
ref-mek.5.2.1.1037-ref-mek.5.2.1.1044,ref-bible.0203.17.36.1-ref-bible.203.17.36.7,215413,215445,ref-mek.5.2.1.1037,ref-mek.5.2.1.1044,554460,554489,ref-bible.0203.17.36.1,ref-bible.0203.17.36.7,גם את הארי גם את הדוב הכה עבדך ,גם את הארי גם הדוב הכה עבדך ,8,7,978,978.0,987,987.0,0.0967741935483871,0.0,3090000848
ref-mek.5.2.3.1-ref-mek.5.2.3.7,ref-bible.0102.17.16.1-ref-bible.102.17.16.7,216904,216931,ref-mek.5.2.3.1,ref-mek.5.2.3.7,140795,140822,ref-bible.0102.17.16.1,ref-bible.0102.17.16.7,ויאמר כי יד על כס יה מלחמה ,ויאמר כי יד על כס יה מלחמה ,7,7,367,367.0,988,988.0,0.0,0.0,3090000849
ref-mek.5.2.3.75-ref-mek.5.2.3.88,ref-bible.0204.1.13.4-ref-bible.204.1.14.3,217287,217353,ref-mek.5.2.3.75,ref-mek.5.2.3.88,587750,587821,ref-bible.0204.1.13.4,ref-bible.0204.1.14.3,הנער המגיד לו אי מזה אתה ויאמר בן איש גר עמלקי אנכי נזכר לדוד ,הנער המגיד לו אי מזה אתה ויאמר בן איש גר עמלקי אנכי ויאמר אליו דוד ,14,15,984,984.0,989,989.0,0.11940298507462686,0.15384615384615385,3090000850
ref-mek.5.2.3.106-ref-mek.5.2.3.117,ref-bible.0204.1.16.1-ref-bible.204.1.16.12,217458,217509,ref-mek.5.2.3.106,ref-mek.5.2.3.117,587916,587967,ref-bible.0204.1.16.1,ref-bible.0204.1.16.12,ויאמר אליו דוד דמך על ראשך כי פיך ענה בך לכך נאמר ,ויאמר אליו דוד דמיך דמך על ראשך כי פיך ענה בך לאמר ,12,12,985,985.0,990,990.0,0.17647058823529413,0.09999999999999998,3090000851
