baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-b,dam-lev,jac,id
ref-b.3.2.13.111a.16.19-ref-b.3.2.13.111a.17.18,ref-bible.0206.7.4.19-ref-bible.0206.7.5.1,3603191,3603312,ref-b.3.2.13.111a.16.19,ref-b.3.2.13.111a.17.18,728579,728619,ref-bible.0206.7.4.19,ref-bible.0206.7.5.1,אם יחינו נחיה ואם ימיתנו ומתנו ויקומו,אם יחינו נחיה ואם ימיתנו ומתנו ויקומו,15,7,4827,4827.0,3752,3752.0,0.0,0.0,8090003250
ref-b.3.2.13.111a.17.6-ref-b.3.2.13.111a.17.9,ref-bible.0207.26.19.1-ref-bible.207.26.19.4,3603241,3603263,ref-b.3.2.13.111a.17.6,ref-b.3.2.13.111a.17.9,809591,809613,ref-bible.0207.26.19.1,ref-bible.0207.26.19.4,יחיו מתיך נבלתי יקומון ,יחיו מתיך נבלתי יקומון ,4,4,5201,5201.0,3754,3754.0,0.0,0.0,8090003251
ref-b.3.2.13.111a.17.12-ref-b.3.2.13.111a.17.18,ref-bible.0207.26.19.1-ref-bible.207.26.19.4,3603272,3603312,ref-b.3.2.13.111a.17.12,ref-b.3.2.13.111a.17.18,809591,809613,ref-bible.0207.26.19.1,ref-bible.0207.26.19.4,יחיו מתיך מתים שבארץ ישראל נבלתי יקומון ,יחיו מתיך נבלתי יקומון ,7,4,5202,5201.0,3755,3755.0,0.425,0.4285714285714286,8090003252
ref-b.3.2.13.111a.18.8-ref-b.3.2.13.111a.18.14,ref-bible.0207.42.5.11-ref-bible.207.42.5.17,3603458,3603495,ref-b.3.2.13.111a.18.8,ref-b.3.2.13.111a.18.14,833229,833264,ref-bible.0207.42.5.11,ref-bible.0207.42.5.17,נותן נשמה לעם עליה ורוח להולכים בה ,נתן נשמה לעם עליה ורוח להלכים בה ,7,7,5351,5351.0,3756,3756.0,0.05714285714285714,0.0,8090003253
ref-b.3.2.13.111a.22.1-ref-b.3.2.13.111a.22.7,ref-bible.0101.47.30.4-ref-bible.101.47.30.11,3604029,3604078,ref-b.3.2.13.111a.22.1,ref-b.3.2.13.111a.22.7,99955,100012,ref-bible.0101.47.30.4,ref-bible.0101.47.30.11,ונשאתני ממצרים וקברתני בקבורתם אמר קרנא דברים ,ונשאתני ממצרים וקברתני בקברתם ויאמר אנכי אעשה כדברך ,7,8,578,577.0,3757,3757.0,0.2692307692307692,0.5,8090003254
ref-b.3.2.13.111a.26.10-ref-b.3.2.13.111a.26.23,ref-bible.0208.31.21.8-ref-bible.208.31.21.17,3604696,3604787,ref-b.3.2.13.111a.26.10,ref-b.3.2.13.111a.26.23,927852,927901,ref-bible.0208.31.21.8,ref-bible.0208.31.21.17,בישיבה שישיבה קשה לתחתוניות ואל תרבה בעמידה שעמידה קשה ללב ואל תרבה בהליכה שהליכה ,לבך למסלה דרך הלכתי הלכת שובי בתולת ישראל שבי אל ,14,10,5776,5776.0,3758,3758.0,0.7195121951219512,0.8823529411764706,8090003255
ref-b.3.2.13.111b.4.9-ref-b.3.2.13.111b.4.25,ref-bible.0207.26.14.1-ref-bible.207.26.14.6,3605283,3605361,ref-b.3.2.13.111b.4.9,ref-b.3.2.13.111b.4.25,809324,809350,ref-bible.0207.26.14.1,ref-bible.0207.26.14.6,מתים בל יחיו וגו' תניא נמי הכי מתים בל יחיו יכול לכל תלמוד לומר רפאים בל יקומו ,מתים בל יחיו רפאים בל יקמו ,17,6,5199,5199.0,3759,3759.0,0.6582278481012658,0.5833333333333333,8090003256
ref-b.3.2.13.111b.5.25-ref-b.3.2.13.111b.5.31,ref-bible.0207.26.19.9-ref-bible.207.26.19.15,3605522,3605555,ref-b.3.2.13.111b.5.25,ref-b.3.2.13.111b.5.31,809636,809667,ref-bible.0207.26.19.9,ref-bible.0207.26.19.15,כי טל אורות טליך וארץ רפאים תפיל ,כי טל אורת טלך וארץ רפאים תפיל ,7,7,5205,5201.0,3760,3760.0,0.06060606060606061,0.2857142857142857,8090003257
ref-b.3.2.13.111b.6.8-ref-b.3.2.13.111b.6.18,ref-bible.0105.4.3.19-ref-bible.105.4.4.7,3605682,3605742,ref-b.3.2.13.111b.6.8,ref-b.3.2.13.111b.6.18,346102,346158,ref-bible.0105.4.3.19,ref-bible.0105.4.4.7,להן תקנה מן התורה ואתם הדבקים בה' אלהיכם חיים כולכם היום ,אלהיך מקרבך ואתם הדבקים ביהוה אלהיכם חיים כלכם היום ,11,9,2895,2895.0,3761,3761.0,0.3157894736842105,0.5454545454545454,8090003258
ref-b.3.2.13.111b.11.14-ref-b.3.2.13.111b.12.8,ref-bible.0301.72.16.1-ref-bible.301.72.16.6,3606503,3606556,ref-b.3.2.13.111b.11.14,ref-b.3.2.13.111b.12.8,1200877,1200904,ref-bible.0301.72.16.1,ref-bible.0301.72.16.6,יהי פסת בר בארץ תנו רבנן יהי פסת בר בארץ בראש הרים ,יהי פסת בר בארץ בראש הרים ,12,6,7066,7066.0,3762,3762.0,0.49019607843137253,0.33333333333333337,8090003259
ref-b.3.2.13.111b.16.8-ref-b.3.2.13.111b.16.25,ref-bible.0101.49.11.1-ref-bible.101.49.11.7,3607475,3607568,ref-b.3.2.13.111b.16.8,ref-b.3.2.13.111b.16.25,102462,102499,ref-bible.0101.49.11.1,ref-bible.0101.49.11.7,אוסרי לגפן עירה אין לך כל גפן וגפן שבארץ ישראל שאין צריך עיר אחת לבצור ולשורקה בני אתונו ,אסרי לגפן עירה עירו ולשרקה בני אתנו ,18,7,601,600.0,3763,3763.0,0.5955056179775281,0.5714285714285714,8090003260
ref-b.3.2.13.112a.3.11-ref-b.3.2.13.112a.3.16,ref-bible.0301.107.34.1-ref-bible.301.107.34.6,3609291,3609319,ref-b.3.2.13.112a.3.11,ref-b.3.2.13.112a.3.16,1230168,1230195,ref-bible.0301.107.34.1,ref-bible.0301.107.34.6,ארץ פרי למלחה מרעת יושבי בה ,ארץ פרי למלחה מרעת ישבי בה ,6,6,7263,7263.0,3764,3764.0,0.03571428571428571,0.0,8090003261
ref-b.3.2.13.112a.8.10-ref-b.3.2.13.112a.8.16,ref-bible.0104.13.22.12-ref-bible.104.13.22.18,3610074,3610112,ref-b.3.2.13.112a.8.10,ref-b.3.2.13.112a.8.16,283938,283975,ref-bible.0104.13.22.12,ref-bible.0104.13.22.18,וחברון שבע שנים נבנתה לפני צוען מצרים ,וחברון שבע שנים נבנתה לפני צען מצרים ,7,7,2453,2451.0,3765,3765.0,0.02631578947368421,0.0,8090003262
ref-b.3.2.13.112a.8.33-ref-b.3.2.13.112a.9.2,ref-bible.0101.10.6.1-ref-bible.101.10.7.1,3610198,3610243,ref-b.3.2.13.112a.8.33,ref-b.3.2.13.112a.9.2,16067,16106,ref-bible.0101.10.6.1,ref-bible.0101.10.7.1,ובני חם כוש ומצרים ופוט וכנען אלא שמבונה ,ובני חם כוש ומצרים ופוט וכנען ובני ,8,7,132,132.0,3768,3766.0,0.1951219512195122,0.25,8090003263
ref-b.3.2.13.112a.8.24-ref-b.3.2.13.112a.8.33,ref-bible.0309.2.43.2-ref-bible.309.2.57.1,3610149,3610203,ref-b.3.2.13.112a.8.24,ref-b.3.2.13.112a.8.33,1374657,1375072,ref-bible.0309.2.43.2,ref-bible.0309.2.57.1,בונה בית לבנו קטן קודם שיבנה לבנו גדול שנאמר ובני ,בני ציחא בני חשופא בני טבעות בני קרס בני סיעהא בני פדון בני לבנה בני חגבה בני עקוב בני חגב בני שמלי שלמי בני חנן בני גדל בני גחר בני ראיה בני רצין בני נקודא בני גזם בני עזא בני פסח בני בסי בני אסנה בני מעינים מעונים בני נפיסים נפוסים בני בקבוק בני חקופא בני חרחור בני בצלות בני מחידא בני חרשא בני ברקוס בני סיסרא בני תמח בני נציח בני חטיפא בני עבדי שלמה בני סטי בני הספרת בני פרודא בני יעלה בני דרקון בני גדל בני ,10,89,8257,8257.0,3767,3766.0,0.8958837772397095,0.9347826086956522,8090003264
ref-b.3.2.13.112a.8.33-ref-b.3.2.13.112a.9.2,ref-bible.0312.1.8.1-ref-bible.312.1.9.1,3610198,3610243,ref-b.3.2.13.112a.8.33,ref-b.3.2.13.112a.9.2,1456009,1456044,ref-bible.0312.1.8.1,ref-bible.0312.1.9.1,ובני חם כוש ומצרים ופוט וכנען אלא שמבונה ,בני חם כוש ומצרים פוט וכנען ובני ,8,7,8575,8575.0,3769,3766.0,0.24390243902439024,0.33333333333333337,8090003265
ref-b.3.2.13.112a.8.21-ref-b.3.2.13.112a.8.33,ref-bible.0312.6.34.20-ref-bible.312.6.37.4,3610136,3610203,ref-b.3.2.13.112a.8.21,ref-b.3.2.13.112a.8.33,1468515,1468622,ref-bible.0312.6.34.20,ref-bible.0312.6.37.4,ממש אפשר אדם בונה בית לבנו קטן קודם שיבנה לבנו גדול שנאמר ובני ,משה עבד האלהים ואלה בני אהרן אלעזר בנו פינחס בנו אבישוע בנו בקי בנו עזי בנו זרחיה בנו מריות בנו אמריה בנו ,13,22,8658,8657.0,3766,3766.0,0.660377358490566,0.9565217391304348,8090003266
ref-b.3.2.13.112a.13.6-ref-b.3.2.13.112a.13.11,ref-bible.0208.3.19.6-ref-bible.208.3.19.11,3610862,3610888,ref-b.3.2.13.112a.13.6,ref-b.3.2.13.112a.13.11,871973,871999,ref-bible.0208.3.19.6,ref-bible.0208.3.19.11,ואתן לך ארץ חמדה נחלת צבי ,ואתן לך ארץ חמדה נחלת צבי ,6,6,5567,5567.0,3770,3770.0,0.0,0.0,8090003267
ref-b.3.2.13.112a.16.2-ref-b.3.2.13.112a.16.27,ref-bible.0209.13.9.1-ref-bible.209.13.9.22,3611318,3611448,ref-b.3.2.13.112a.16.2,ref-b.3.2.13.112a.16.27,999891,1000005,ref-bible.0209.13.9.1,ref-bible.0209.13.9.22,והיתה ידי אל הנביאים החוזים שוא וגו' בסוד עמי לא יהיו זה סוד עיבור ובכתב בית ישראל לא יכתבו זה סמיכה ואל אדמת ישראל לא יבואו ,והיתה ידי אל הנביאים החזים שוא והקסמים כזב בסוד עמי לא יהיו ובכתב בית ישראל לא יכתבו ואל אדמת ישראל לא יבאו ,26,22,5996,5996.0,3771,3771.0,0.272,0.3157894736842105,8090003268
ref-b.3.2.13.112b.1.13-ref-b.3.2.13.112b.1.20,ref-bible.0301.102.15.1-ref-bible.301.102.15.8,3611807,3611845,ref-b.3.2.13.112b.1.13,ref-b.3.2.13.112b.1.20,1222602,1222639,ref-bible.0301.102.15.1,ref-bible.0301.102.15.8,כי רצו עבדיך את אבניה ואת עפרה יחוננו ,כי רצו עבדיך את אבניה ואת עפרה יחננו ,8,8,7203,7203.0,3772,3772.0,0.02631578947368421,0.0,8090003269
ref-b.3.2.13.112b.2.25-ref-b.3.2.13.112b.2.30,ref-bible.0207.6.13.1-ref-bible.207.6.13.6,3611969,3612002,ref-b.3.2.13.112b.2.25,ref-b.3.2.13.112b.2.30,785576,785608,ref-bible.0207.6.13.1,ref-bible.0207.6.13.6,ועוד בה עשיריה ושבה והיתה לבער ,ועוד בה עשריה ושבה והיתה לבער ,6,6,5078,5078.0,3773,3773.0,0.03225806451612903,0.0,8090003270
ref-b.3.2.13.112b.3.17-ref-b.3.2.13.112b.3.24,ref-bible.0211.2.22.9-ref-bible.211.2.22.16,3612118,3612153,ref-b.3.2.13.112b.3.17,ref-b.3.2.13.112b.3.24,1095407,1095442,ref-bible.0211.2.22.9,ref-bible.0211.2.22.16,כי עץ נשא פריו תאנה וגפן נתנו חילם ,כי עץ נשא פריו תאנה וגפן נתנו חילם ,8,8,6448,6448.0,3774,3774.0,0.0,0.0,8090003271
ref-b.3.3.1.8a.1.7-ref-b.3.3.1.8a.1.11,ref-bible.0301.119.106.1-ref-bible.301.119.106.5,3624060,3624090,ref-b.3.3.1.8a.1.7,ref-b.3.3.1.8a.1.11,1239856,1239886,ref-bible.0301.119.106.1,ref-bible.0301.119.106.5,נשבעתי ואקימה לשמר משפטי צדקך ,נשבעתי ואקימה לשמר משפטי צדקך ,5,5,7320,7318.0,3775,3775.0,0.0,0.0,8090003272
ref-b.3.3.1.8a.5.16-ref-b.3.3.1.8a.5.25,ref-bible.0101.19.5.10-ref-bible.101.19.6.2,3624532,3624576,ref-b.3.3.1.8a.5.16,ref-b.3.3.1.8a.5.25,30578,30624,ref-bible.0101.19.5.10,ref-bible.0101.19.6.2,אלי קום צא אל הבקעה ושם אדבר אותך ואצא אל ,אליך הלילה הוציאם אלינו ונדעה אתם ויצא אלהם ,10,8,252,252.0,3777,3776.0,0.6136363636363636,0.9285714285714286,8090003273
ref-b.3.3.1.8a.5.14-ref-b.3.3.1.8a.5.31,ref-bible.0209.3.22.6-ref-bible.209.3.23.9,3624518,3624604,ref-b.3.3.1.8a.5.14,ref-b.3.3.1.8a.5.31,984558,984646,ref-bible.0209.3.22.6,ref-bible.0209.3.23.9,שנאמר ויאמר אלי קום צא אל הבקעה ושם אדבר אותך ואצא אל הבקעה והנה שם כבוד ה' עמד ,ויאמר אלי קום צא אל הבקעה ושם אדבר אותך ואקום ואצא אל הבקעה והנה שם כבוד יהוה עמד ,18,18,5911,5911.0,3776,3776.0,0.18292682926829268,0.15384615384615385,8090003274
ref-b.3.3.1.8b.5.37-ref-b.3.3.1.8b.5.52,ref-bible.0221.3.20.1-ref-bible.221.3.20.7,3625509,3625588,ref-b.3.3.1.8b.5.37,ref-b.3.3.1.8b.5.52,1151967,1152002,ref-bible.0221.3.20.1,ref-bible.0221.3.20.7,וזרחה לכם יראי שמי אלו בני אדם שהן יראין להוציא שם שמים לבטלה שמש צדקה ומרפא ,וזרחה לכם יראי שמי שמש צדקה ומרפא ,16,7,6721,6719.0,3778,3778.0,0.5584415584415584,0.46153846153846156,8090003275
ref-b.3.3.1.8b.6.24-ref-b.3.3.1.8b.6.38,ref-bible.0101.35.17.4-ref-bible.101.35.18.3,3625753,3625836,ref-b.3.3.1.8b.6.24,ref-b.3.3.1.8b.6.38,70205,70263,ref-bible.0101.35.17.4,ref-bible.0101.35.18.3,שנאמר וזרחה לכם יראי שמי שמש וגו' ולא עוד אלא שמתעדנין בה שנאמר ויצאתם ופשתם ,ותאמר לה המילדת אל תיראי כי גם זה לך בן ויהי בצאת נפשה ,15,13,443,443.0,3779,3779.0,0.6753246753246753,0.9523809523809523,8090003276
ref-b.3.3.1.8b.6.25-ref-b.3.3.1.8b.7.1,ref-bible.0221.3.20.1-ref-bible.221.3.21.2,3625760,3625857,ref-b.3.3.1.8b.6.25,ref-b.3.3.1.8b.7.1,1151967,1152051,ref-bible.0221.3.20.1,ref-bible.0221.3.21.2,וזרחה לכם יראי שמי שמש וגו' ולא עוד אלא שמתעדנין בה שנאמר ויצאתם ופשתם כעגלי מרבק והרשעים ,וזרחה לכם יראי שמי שמש צדקה ומרפא בכנפיה ויצאתם ופשתם כעגלי מרבק ועסותם רשעים ,17,14,6723,6719.0,3780,3779.0,0.37777777777777777,0.4736842105263158,8090003277
ref-b.3.3.1.10b.1.5-ref-b.3.3.1.10b.1.11,ref-bible.0208.12.11.1-ref-bible.208.12.11.6,3629172,3629202,ref-b.3.3.1.10b.1.5,ref-b.3.3.1.10b.1.11,889976,890005,ref-bible.0208.12.11.1,ref-bible.0208.12.11.6,לה' עולה לה' מנחה לה' תודה לה' ,שמה לשממה אבלה עלי שממה נשמה ,7,6,5641,5641.0,3781,3781.0,0.7096774193548387,0.8571428571428572,8090003278
ref-b.3.3.2.15b.10.13-ref-b.3.3.2.15b.10.20,ref-bible.0102.21.10.4-ref-bible.102.21.10.9,3638574,3638619,ref-b.3.3.2.15b.10.13,ref-b.3.3.2.15b.10.20,146874,146902,ref-bible.0102.21.10.4,ref-bible.0102.21.10.9,לה מדאורייתא דכתיב שארה כסותה וענתה לא יגרע ,לו שארה כסותה וענתה לא יגרע ,8,6,860,860.0,3782,3782.0,0.36363636363636365,0.33333333333333337,8090003279
ref-b.3.3.2.16a.5.1-ref-b.3.3.2.16a.5.28,ref-bible.0208.30.15.14-ref-bible.208.30.16.9,3639060,3639227,ref-b.3.3.2.16a.5.1,ref-b.3.3.2.16a.5.28,925626,925672,ref-bible.0208.30.15.14,ref-bible.0208.30.16.9,מכלל דהא שבועה שאוכל לך דלא אכילנא משמע ורמינהו שבועות שתים שהן ארבע שאוכל ושלא אוכל שאכלתי ושלא אכלתי מדקאמר שלא אוכל שאכלתי ושלא אכלתי מכלל דשאוכל לך ,לך לכן כל אכליך יאכלו וכל צריך כלם בשבי ילכו ,28,10,5763,5763.0,3783,3783.0,0.7828947368421053,0.92,8090003280
ref-b.3.3.2.16b.4.5-ref-b.3.3.2.16b.4.19,ref-bible.0104.30.3.1-ref-bible.104.30.3.8,3640227,3640288,ref-b.3.3.2.16b.4.5,ref-b.3.3.2.16b.4.19,321935,321969,ref-bible.0104.30.3.1,ref-bible.0104.30.3.8,איש כי ידר נדר לה' לא יחל דברו שבועה נמי הא כתיב או השבע שבעה ,איש כי ידר נדר ליהוה או השבע שבעה ,15,8,2751,2751.0,3784,3784.0,0.46774193548387094,0.625,8090003281
ref-b.3.3.2.19a.4.7-ref-b.3.3.2.19a.5.12,ref-bible.0209.44.25.19-ref-bible.209.44.27.4,3643859,3643950,ref-b.3.3.2.19a.4.7,ref-b.3.3.2.19a.5.12,1070731,1070787,ref-bible.0209.44.25.19,ref-bible.0209.44.27.4,הבאה מאליה לקדושה הבאה בידי אדם אלא אי קשיא הא קשיא ספק משקין ליטמא טמא לטמא אחרים טהור ,יטמאו ואחרי טהרתו שבעת ימים יספרו לו וביום באו אל הקדש ,18,11,6285,6285.0,3785,3785.0,0.7727272727272727,0.75,8090003282
ref-b.3.3.2.20a.12.2-ref-b.3.3.2.20a.12.10,ref-bible.0102.20.20.13-ref-bible.102.20.20.19,3646613,3646660,ref-b.3.3.2.20a.12.2,ref-b.3.3.2.20a.12.10,145870,145910,ref-bible.0102.20.20.13,ref-bible.0102.20.20.19,בעבור תהיה יראתו על פניכם זו בושה לבלתי תחטאו ,ובעבור תהיה יראתו על פניכם לבלתי תחטאו ,9,7,844,844.0,3786,3786.0,0.1956521739130435,0.4,8090003283
ref-b.3.3.2.20b.8.1-ref-b.3.3.2.20b.8.5,ref-bible.0209.20.37.8-ref-bible.209.20.38.5,3648106,3648138,ref-b.3.3.2.20b.8.1,ref-b.3.3.2.20b.8.5,1016741,1016780,ref-bible.0209.20.37.8,ref-bible.0209.20.38.5,וברותי מכם המרדים והפושעים בי ,הברית וברותי מכם המרדים והפושעים בי ,5,6,6073,6073.0,3787,3787.0,0.16666666666666666,0.0,8090003284
ref-b.3.3.2.20b.8.13-ref-b.3.3.2.20b.9.15,ref-bible.0309.2.43.2-ref-bible.0309.2.58.3,3648168,3648255,ref-b.3.3.2.20b.8.13,ref-b.3.3.2.20b.9.15,1374657,1375130,ref-bible.0309.2.43.2,ref-bible.0309.2.58.3,בני חרחור בני בצלות בני מחידא בני חרשא בני ברקוס בני סיסרא בני תמח בני נציח בני חטיפא בני עבדי שלמה בני סטי בני הספרת בני פרודא בני יעלה בני דרקון בני גדל בני שפטיה בני חטיל בני פכרת הצביים בני אמי כל הנתינים ובני,בני ציחא בני חשופא בני טבעות בני קרס בני סיעהא בני פדון בני לבנה בני חגבה בני עקוב בני חגב בני שמלי שלמי בני חנן בני גדל בני גחר בני ראיה בני רצין בני נקודא בני גזם בני עזא בני פסח בני בסי בני אסנה בני מעינים מעונים בני נפיסים נפוסים בני בקבוק בני חקופא בני חרחור בני בצלות בני מחידא בני חרשא בני ברקוס בני סיסרא בני תמח בני נציח בני חטיפא בני עבדי שלמה בני סטי בני הספרת בני פרודא בני יעלה בני דרקון בני גדל בני שפטיה בני חטיל בני פכרת הצביים בני אמי,18,97,8259,8259.0,3789,3789.0,0.5986696230598669,0.5,8090003285
ref-b.3.3.2.20b.9.1-ref-b.3.3.2.20b.9.20,ref-bible.0312.6.5.2-ref-bible.312.6.14.5,3648183,3648282,ref-b.3.3.2.20b.9.1,ref-b.3.3.2.20b.9.20,1467334,1467651,ref-bible.0312.6.5.2,ref-bible.0312.6.14.5,בני אימה בני אנוסה בני שנואה בני נידוי בני תמורה בני מריבה בני שכרות בני גרושת הלב בני ערבוביא בני ,לבני בנו יחת בנו זמה בנו יואח בנו עדו בנו זרח בנו יאתרי בנו בני קהת עמינדב בנו קרח בנו אסיר בנו אלקנה בנו ואביסף בנו ואסיר בנו תחת בנו אוריאל בנו עזיה בנו ושאול בנו ובני אלקנה עמשי ואחימות אלקנה בנו בני אלקנה צופי בנו ונחת בנו אליאב בנו ירחם בנו אלקנה בנו ובני שמואל הבכר ושני ואביה בני מררי מחלי לבני בנו ,20,64,8643,8640.0,3792,3788.0,0.7418300653594772,0.9210526315789473,8090003286
ref-b.3.3.2.20b.8.9-ref-b.3.3.2.20b.9.5,ref-bible.0312.26.24.1-ref-bible.312.26.25.8,3648151,3648205,ref-b.3.3.2.20b.8.9,ref-b.3.3.2.20b.9.5,1507374,1507462,ref-bible.0312.26.24.1,ref-bible.0312.26.25.8,אלו בני תשע מדות בני אסנת משגעח בני אימה בני אנוסה בני ,ושבאל בן גרשום בן משה נגיד על האצרות ואחיו לאליעזר רחביהו בנו וישעיהו בנו וירם בנו ,12,16,8805,8804.0,3788,3788.0,0.6626506024096386,0.9473684210526316,8090003287
ref-b.3.3.2.20b.10.26-ref-b.3.3.2.20b.10.30,ref-bible.0105.1.13.1-ref-bible.105.1.13.5,3648416,3648443,ref-b.3.3.2.20b.10.26,ref-b.3.3.2.20b.10.30,338170,338197,ref-bible.0105.1.13.1,ref-bible.0105.1.13.5,הבו לכם אנשים חכמים ונבנים ,הבו לכם אנשים חכמים ונבנים ,5,5,2867,2867.0,3793,3793.0,0.0,0.0,8090003288
ref-b.3.3.2.20b.11.6-ref-b.3.3.2.20b.11.10,ref-bible.0312.12.33.1-ref-bible.312.12.33.5,3648517,3648545,ref-b.3.3.2.20b.11.6,ref-b.3.3.2.20b.11.10,1483437,1483466,ref-bible.0312.12.33.1,ref-bible.0312.12.33.5,מבני יששכר יודעי בינה לעתים ,ומבני יששכר יודעי בינה לעתים ,5,5,8710,8710.0,3794,3794.0,0.034482758620689655,0.33333333333333337,8090003289
ref-b.3.3.3.21b.9.49-ref-b.3.3.3.22a.1.6,ref-bible.0204.14.15.14-ref-bible.204.14.16.3,3650189,3650240,ref-b.3.3.3.21b.9.49,ref-b.3.3.3.22a.1.6,615968,616040,ref-bible.0204.14.15.14,ref-bible.0204.14.16.3,דאמרן מגירתיך עלה דברתך אילו לא חמאת בה אימה מילין ,ותאמר שפחתך אדברה נא אל המלך אולי יעשה המלך את דבר אמתו כי ישמע המלך ,10,15,4188,4188.0,3795,3795.0,0.6666666666666666,0.9333333333333333,8090003290
ref-b.3.3.3.22a.4.20-ref-b.3.3.3.22a.4.26,ref-bible.0302.12.18.1-ref-bible.302.12.18.7,3650609,3650647,ref-b.3.3.3.22a.4.20,ref-b.3.3.3.22a.4.26,1268526,1268564,ref-bible.0302.12.18.1,ref-bible.0302.12.18.7,יש בוטה כמדקרות חרב ולשון חכמים מרפא ,יש בוטה כמדקרות חרב ולשון חכמים מרפא ,7,7,7539,7538.0,3796,3796.0,0.0,0.0,8090003291
ref-b.3.3.3.22a.4.28-ref-b.3.3.3.22a.4.35,ref-bible.0302.12.18.2-ref-bible.302.12.18.7,3650651,3650695,ref-b.3.3.3.22a.4.28,ref-b.3.3.3.22a.4.35,1268529,1268564,ref-bible.0302.12.18.2,ref-bible.0302.12.18.7,הבוטה ראוי לדוקרו בחרב אלא לשון חכמים מרפא ,בוטה כמדקרות חרב ולשון חכמים מרפא ,8,6,7541,7538.0,3797,3797.0,0.32558139534883723,0.7272727272727273,8090003292
ref-b.3.3.3.22a.7.19-ref-b.3.3.3.22a.7.25,ref-bible.0105.23.23.1-ref-bible.105.23.23.7,3651092,3651122,ref-b.3.3.3.22a.7.19,ref-b.3.3.3.22a.7.25,386527,386557,ref-bible.0105.23.23.1,ref-bible.0105.23.23.7,וכי תחדל לנדר לא יהיה בך חטא ,וכי תחדל לנדר לא יהיה בך חטא ,7,7,3274,3273.0,3798,3798.0,0.0,0.0,8090003293
ref-b.3.3.3.22a.10.8-ref-b.3.3.3.22a.10.17,ref-bible.0105.28.65.10-ref-bible.105.28.65.19,3651504,3651551,ref-b.3.3.3.22a.10.8,ref-b.3.3.3.22a.10.17,397856,397905,ref-bible.0105.28.65.10,ref-bible.0105.28.65.19,ונתן ה' לך שם לב רגז וכליון עינים ודאבון נפש ,ונתן יהוה לך שם לב רגז וכליון עינים ודאבון נפש ,10,10,3364,3364.0,3799,3799.0,0.06382978723404255,0.09999999999999998,8090003294
ref-b.3.3.3.22b.2.14-ref-b.3.3.3.22b.2.22,ref-bible.0301.10.4.1-ref-bible.301.10.4.9,3652010,3652052,ref-b.3.3.3.22b.2.14,ref-b.3.3.3.22b.2.22,1157053,1157095,ref-bible.0301.10.4.1,ref-bible.0301.10.4.9,רשע כגבה אפו בל ידרש אין אלהים כל מזמותיו ,רשע כגבה אפו בל ידרש אין אלהים כל מזמותיו ,9,9,6776,6776.0,3800,3800.0,0.0,0.0,8090003295
ref-b.3.3.3.30b.11.11-ref-b.3.3.3.30b.11.16,ref-bible.0101.48.5.1-ref-bible.101.48.5.6,3667424,3667462,ref-b.3.3.3.30b.11.11,ref-b.3.3.3.30b.11.16,100384,100422,ref-bible.0101.48.5.1,ref-bible.0101.48.5.6,מעתה שני בניך הנולדים לך בארץ מצרים ,ועתה שני בניך הנולדים לך בארץ מצרים ,7,7,581,581.0,3801,3801.0,0.027777777777777776,0.0,8090003296
ref-b.3.3.3.30b.12.9-ref-b.3.3.3.30b.12.14,ref-bible.0205.13.2.13-ref-bible.205.13.2.18,3667528,3667556,ref-b.3.3.3.30b.12.9,ref-b.3.3.3.30b.12.14,683416,683444,ref-bible.0205.13.2.13,ref-bible.0205.13.2.18,בן נולד לבית דוד יאשיהו שמו ,בן נולד לבית דוד יאשיהו שמו ,6,6,4582,4581.0,3802,3802.0,0.0,0.0,8090003297
ref-b.3.3.3.32a.3.22-ref-b.3.3.3.32a.3.28,ref-bible.0102.4.25.1-ref-bible.102.4.25.7,3669688,3669720,ref-b.3.3.3.32a.3.22,ref-b.3.3.3.32a.3.28,112657,112689,ref-bible.0102.4.25.1,ref-bible.0102.4.25.7,ותקח צפרה צר ותכרת את ערלת בנה ,ותקח צפרה צר ותכרת את ערלת בנה ,7,7,686,686.0,3803,3803.0,0.0,0.0,8090003298
ref-b.3.3.3.32a.4.21-ref-b.3.3.3.32a.4.28,ref-bible.0105.9.19.1-ref-bible.105.9.19.8,3669846,3669884,ref-b.3.3.3.32a.4.21,ref-b.3.3.3.32a.4.28,359538,359576,ref-bible.0105.9.19.1,ref-bible.0105.9.19.8,כי יגרתי מפני האף והחמה תרי חימה הוו ,כי יגרתי מפני האף והחמה אשר קצף יהוה ,8,8,2979,2979.0,3804,3804.0,0.24324324324324326,0.4285714285714286,8090003299
ref-b.3.3.3.32a.5.21-ref-b.3.3.3.32a.5.29,ref-bible.0101.17.1.17-ref-bible.101.17.2.4,3670015,3670068,ref-b.3.3.3.32a.5.21,ref-b.3.3.3.32a.5.29,26132,26178,ref-bible.0101.17.1.17,ref-bible.0101.17.2.4,התהלך לפני והיה תמים וכתיב ואתנה בריתי ביני ובינך ,התהלך לפני והיה תמים ואתנה בריתי ביני ובינך ,9,8,202,202.0,3805,3805.0,0.12,0.125,8090003300
