baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-b,dam-lev,jac,id
ref-b.1.1.1.4b.22.5-ref-b.1.1.1.4b.22.12,ref-bible.0212.5.2.1-ref-bible.212.5.2.6,12417,12458,ref-b.1.1.1.4b.22.5,ref-b.1.1.1.4b.22.12,1102238,1102267,ref-bible.0212.5.2.1,ref-bible.0212.5.2.6,נפלה ולא תוסיף לנפול עוד קום בתולת ישראל ,נפלה לא תוסיף קום בתולת ישראל ,8,6,6470,6469.0,23,23.0,0.2682926829268293,0.375,8090000021
ref-b.1.1.1.4b.23.17-ref-b.1.1.1.4b.23.21,ref-bible.0207.6.6.1-ref-bible.207.6.6.5,12635,12659,ref-b.1.1.1.4b.23.17,ref-b.1.1.1.4b.23.21,785085,785109,ref-bible.0207.6.6.1,ref-bible.0207.6.6.5,ויעף אלי אחד מן השרפים ,ויעף אלי אחד מן השרפים ,5,5,5071,5071.0,24,24.0,0.0,0.0,8090000022
ref-b.1.1.1.4b.23.26-ref-b.1.1.1.4b.23.33,ref-bible.0311.9.21.5-ref-bible.311.9.21.12,12683,12729,ref-b.1.1.1.4b.23.26,ref-b.1.1.1.4b.23.33,1448884,1448931,ref-bible.0311.9.21.5,ref-bible.0311.9.21.12,והאיש גבריאל אשר ראיתי בחזון בתחלה מעף ביעף ,והאיש גבריאל אשר ראיתי בחזון בתחלה מעף ביעף ,8,8,8547,8547.0,25,25.0,0.0,0.0,8090000023
ref-b.1.1.1.4b.25.9-ref-b.1.1.1.4b.25.13,ref-bible.0207.6.6.1-ref-bible.207.6.6.5,12799,12823,ref-b.1.1.1.4b.25.9,ref-b.1.1.1.4b.25.13,785085,785109,ref-bible.0207.6.6.1,ref-bible.0207.6.6.5,ויעף אלי אחד מן השרפים ,ויעף אלי אחד מן השרפים ,5,5,5072,5071.0,26,26.0,0.0,0.0,8090000024
ref-b.1.1.1.4b.25.16-ref-b.1.1.1.4b.25.22,ref-bible.0311.10.13.9-ref-bible.311.10.13.15,12835,12878,ref-b.1.1.1.4b.25.16,ref-b.1.1.1.4b.25.22,1450698,1450740,ref-bible.0311.10.13.9,ref-bible.0311.10.13.15,והנה מיכאל אחד השרים הראשונים בא לעזרני ,והנה מיכאל אחד השרים הראשנים בא לעזרני ,7,7,8557,8556.0,27,27.0,0.025,0.0,8090000025
ref-b.1.1.1.4b.27.23-ref-b.1.1.1.4b.27.31,ref-bible.0301.4.4.9-ref-bible.301.4.5.8,13062,13110,ref-b.1.1.1.4b.27.23,ref-b.1.1.1.4b.27.31,1153653,1153709,ref-bible.0301.4.4.9,ref-bible.0301.4.5.8,קרא רגזו ואל תחטאו אמרו בלבבכם על משכבכם ודמו ,בקראי אליו רגזו ואל תחטאו אמרו בלבבכם על משכבכם ודמו ,9,10,6750,6750.0,28,28.0,0.1320754716981132,0.0,8090000026
ref-b.1.1.1.5a.1.19-ref-b.1.1.1.5a.1.26,ref-bible.0301.31.6.1-ref-bible.301.31.6.8,13212,13249,ref-b.1.1.1.5a.1.19,ref-b.1.1.1.5a.1.26,1170141,1170180,ref-bible.0301.31.6.1,ref-bible.0301.31.6.8,בידך אפקיד רוחי פדיתה אותי ה' אל אמת ,בידך אפקיד רוחי פדיתה אותי יהוה אל אמת ,8,8,6856,6856.0,29,29.0,0.07692307692307693,0.125,8090000027
ref-b.1.1.1.5a.3.13-ref-b.1.1.1.5a.3.22,ref-bible.0102.24.12.10-ref-bible.102.24.12.19,13566,13622,ref-b.1.1.1.5a.3.13,ref-b.1.1.1.5a.3.22,153064,153120,ref-bible.0102.24.12.10,ref-bible.0102.24.12.19,ואתנה לך את לחת האבן והתורה והמצוה אשר כתבתי להורתם ,ואתנה לך את לחת האבן והתורה והמצוה אשר כתבתי להורתם ,10,10,966,965.0,30,30.0,0.0,0.0,8090000028
ref-b.1.1.1.5a.4.18-ref-b.1.1.1.5a.4.45,ref-bible.0301.149.5.1-ref-bible.0301.149.6.6,13829,13992,ref-b.1.1.1.5a.4.18,ref-b.1.1.1.5a.4.45,1255456,1255529,ref-bible.0301.149.5.1,ref-bible.0301.149.6.6,יעלזו חסידים בכבוד ירננו על משכבותם רוממות אל בגרונם וחרב פיפיות בידם,יעלזו חסידים בכבוד ירננו על משכבותם רוממות אל בגרונם וחרב פיפיות בידם,23,12,7421,7421.0,31,31.0,0.0,0.0,8090000029
ref-b.1.1.1.5a.5.19-ref-b.1.1.1.5a.5.26,ref-bible.0302.23.5.1-ref-bible.302.23.5.5,14109,14151,ref-b.1.1.1.5a.5.19,ref-b.1.1.1.5a.5.26,1280432,1280462,ref-bible.0302.23.5.1,ref-bible.0302.23.5.5,עוף אלא תורה שנאמר התעיף עיניך בו ואיננו ,התעוף התעיף עיניך בו ואיננו ,8,5,7632,7632.0,33,33.0,0.4146341463414634,0.5714285714285714,8090000030
ref-b.1.1.1.5a.5.32-ref-b.1.1.1.5a.5.37,ref-bible.0105.32.24.1-ref-bible.105.32.24.6,14180,14210,ref-b.1.1.1.5a.5.32,ref-b.1.1.1.5a.5.37,406426,406456,ref-bible.0105.32.24.1,ref-bible.0105.32.24.6,מזי רעב ולחמי רשף וקטב מרירי ,מזי רעב ולחמי רשף וקטב מרירי ,6,6,3413,3412.0,34,34.0,0.0,0.0,8090000031
ref-b.1.1.1.5a.6.18-ref-b.1.1.1.5a.6.25,ref-bible.0302.23.5.1-ref-bible.302.23.5.5,14302,14344,ref-b.1.1.1.5a.6.18,ref-b.1.1.1.5a.6.25,1280432,1280462,ref-bible.0302.23.5.1,ref-bible.0302.23.5.5,עוף אלא תורה שנאמר התעיף עיניך בו ואיננו ,התעוף התעיף עיניך בו ואיננו ,8,5,7633,7632.0,35,35.0,0.4146341463414634,0.5714285714285714,8090000032
ref-b.1.1.1.5a.6.31-ref-b.1.1.1.5a.6.34,ref-bible.0105.32.24.1-ref-bible.105.32.24.4,14373,14391,ref-b.1.1.1.5a.6.31,ref-b.1.1.1.5a.6.34,406426,406444,ref-bible.0105.32.24.1,ref-bible.0105.32.24.4,מזי רעב ולחמי רשף ,מזי רעב ולחמי רשף ,4,4,3412,3412.0,36,36.0,0.0,0.0,8090000033
