baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-sifra,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifra.7.1-00.10.43-ref-sifra.7.1-02.1.4,ref-bible.0103.14.35.11-ref-bible.0103.14.37.5,322507,322602,ref-sifra.7.1-00.10.43,ref-sifra.7.1-02.1.4,221023,221169,ref-bible.0103.14.35.11,ref-bible.0103.14.37.5,בבית וצוה הכהן ופנו את הבית בטרם יבא הכהן לראות את הנגע ולא יטמא כל אשר בבית ואחר כן יבא הכהן לראות את הבית וראה את הנגע והנה הנגע,בבית וצוה הכהן ופנו את הבית בטרם יבא הכהן לראות את הנגע ולא יטמא כל אשר בבית ואחר כן יבא הכהן לראות את הבית וראה את הנגע והנה הנגע,29,29,741,741.0,664,664.0,0.0,0.0,29,בבית וצוה הכהן ופנו את הבית בטרם יבא הכהן לראות את הנגע ולא יטמא כל אשר בבית ואחר כן יבא הכהן לראות את הבית וראה את הנגע והנה הנגע,4090000537,29,29
ref-sifra.7.1-02.5.24-ref-sifra.7.1-02.6.8,ref-bible.0103.13.3.4-ref-bible.0103.13.3.18,323696,323746,ref-sifra.7.1-02.5.24,ref-sifra.7.1-02.6.8,213966,214044,ref-bible.0103.13.3.4,ref-bible.0103.13.3.18,הנגע בעור הבשר ושער בנגע הפך לבן ומראה הנגע עמק מעור בשרו נגע צרעת הוא,הנגע בעור הבשר ושער בנגע הפך לבן ומראה הנגע עמק מעור בשרו נגע צרעת הוא,15,15,551,551.0,666,666.0,0.0,0.0,15,הנגע בעור הבשר ושער בנגע הפך לבן ומראה הנגע עמק מעור בשרו נגע צרעת הוא,4090000538,15,15
ref-sifra.7.1-02.6.1-ref-sifra.7.1-02.6.8,ref-bible.0103.13.25.9-ref-bible.103.13.25.20,323707,323746,ref-sifra.7.1-02.6.1,ref-sifra.7.1-02.6.8,215561,215621,ref-bible.0103.13.25.9,ref-bible.0103.13.25.20,מראה הנגע עמוק מעור בשרו נגע צרעת הוא ,ומראה עמק מן העור צרעת הוא במכוה פרחה וטמא אתו הכהן נגע ,8,12,582,580.0,668,666.0,0.6607142857142857,0.7142857142857143,2,צרעת הוא,4090000539,8,12
ref-sifra.7.2-00.6.40-ref-sifra.7.2-00.6.57,ref-bible.0206.1.5.3-ref-bible.0206.1.6.8,325892,325973,ref-sifra.7.2-00.6.40,ref-sifra.7.2-00.6.57,713199,713273,ref-bible.0206.1.5.3,ref-bible.0206.1.6.8,ויאמר אליהם מה זה שבתם ויאמרו אליו איש עלה לקראתנו ויאמר אלינו לכו,אליו ויאמר אליהם מה זה שבתם ויאמרו אליו איש עלה לקראתנו ויאמר אלינו לכו,13,14,1706,1706.0,669,669.0,0.0704225352112676,0.0,13,ויאמר אליהם מה זה שבתם ויאמרו אליו איש עלה לקראתנו ויאמר אלינו לכו,4090000540,13,14
ref-sifra.7.2-00.9.116-ref-sifra.7.2-2*.1.1,ref-bible.0103.13.31.13-ref-bible.103.13.32.6,327141,327205,ref-sifra.7.2-00.9.116,ref-sifra.7.2-2*.1.1,216108,216195,ref-bible.0103.13.31.13,ref-bible.0103.13.32.6,שיער שחור אינו ממעטהוהסגיר הכהן את הנגע ז' ימים תחילה בשביעי ,ושער שחר אין בו והסגיר הכהן את נגע הנתק שבעת ימים וראה הכהן את הנגע ביום השביעי ,11,17,598,589.0,671,671.0,0.5125,0.5294117647058824,3,הכהן את ימים,4090000541,11,17
ref-sifra.7.2-2*.3.21-ref-sifra.7.2-2*.3.34,ref-bible.0312.12.10.6-ref-bible.0312.12.13.4,327483,327565,ref-sifra.7.2-2*.3.21,ref-sifra.7.2-2*.3.34,1481949,1482033,ref-bible.0312.12.10.6,ref-bible.0312.12.13.4,השלשי משמנה הרביעי ירמיה החמשי עתי הששי אליאל השבעי יוחנן השמיני אלזבד התשיעי,השלשי משמנה הרביעי ירמיה החמשי עתי הששי אליאל השבעי יוחנן השמיני אלזבד התשיעי,13,13,1944,1944.0,672,672.0,0.0,0.0,13,השלשי משמנה הרביעי ירמיה החמשי עתי הששי אליאל השבעי יוחנן השמיני אלזבד התשיעי,4090000542,13,13
ref-sifra.7.2-2*.3.21-ref-sifra.7.2-2*.3.26,ref-bible.0312.24.8.2-ref-bible.0312.24.11.2,327483,327521,ref-sifra.7.2-2*.3.21,ref-sifra.7.2-2*.3.26,1503361,1503452,ref-bible.0312.24.8.2,ref-bible.0312.24.11.2,השלישי לשערים הרבעי למלכיה החמישי למימן הששי להקוץ השבעי לאביה השמיני לישוע התשעי,השלישי לשערים הרבעי למלכיה החמישי למימן הששי להקוץ השבעי לאביה השמיני לישוע התשעי,13,13,1954,1954.0,673,673.0,0.0,0.0,13,השלישי לשערים הרבעי למלכיה החמישי למימן הששי להקוץ השבעי לאביה השמיני לישוע התשעי,4090000543,13,13
ref-sifra.7.2-2*.4.12-ref-sifra.7.2-2*.5.1,ref-bible.0103.13.4.16-ref-bible.0103.13.6.11,327701,327941,ref-sifra.7.2-2*.4.12,ref-sifra.7.2-2*.5.1,214140,214330,ref-bible.0103.13.4.16,ref-bible.0103.13.6.11,והסגיר הכהן את הנגע שבעת ימים וראהו הכהן ביום השביעי והנה הנגע עמד בעיניו לא פשה הנגע בעור והסגירו הכהן שבעת ימים שנית וראה הכהן אתו ביום השביעי שנית והנה כהה הנגע ולא פשה,והסגיר הכהן את הנגע שבעת ימים וראהו הכהן ביום השביעי והנה הנגע עמד בעיניו לא פשה הנגע בעור והסגירו הכהן שבעת ימים שנית וראה הכהן אתו ביום השביעי שנית והנה כהה הנגע ולא פשה,34,34,554,554.0,676,676.0,0.0,0.0,30,והסגיר הכהן_את_הנגע שבעת ימים וראהו הכהן ביום השביעי והנה הנגע עמד בעיניו לא פשה הנגע בעור והסגירו הכהן שבעת ימים שנית וראה_הכהן_אתו ביום השביעי שנית והנה כהה הנגע ולא פשה,4090000544,34,34
ref-sifra.7.2-2*.4.15-ref-sifra.7.2-2*.4.27,ref-bible.0103.13.21.15-ref-bible.103.13.22.3,327714,327779,ref-sifra.7.2-2*.4.15,ref-sifra.7.2-2*.4.27,215318,215356,ref-bible.0103.13.21.15,ref-bible.0103.13.22.3,שאם כנס ופשה או פשה וכנס כאילו לא פשה והסגירו הכהן שבעת ימים ,והסגירו הכהן שבעת ימים ואם פשה תפשה ,13,7,577,577.0,677,676.0,0.7704918032786885,0.5454545454545454,4,והסגירו הכהן שבעת ימים,4090000545,13,7
ref-sifra.7.2-2*.4.15-ref-sifra.7.2-2*.4.41,ref-bible.0103.13.26.15-ref-bible.103.13.27.7,327714,327857,ref-sifra.7.2-2*.4.15,ref-sifra.7.2-2*.4.41,215705,215768,ref-bible.0103.13.26.15,ref-bible.0103.13.27.7,שאם כנס ופשה או פשה וכנס כאילו לא פשה והסגירו הכהן שבעת ימים שנית מלמד שיום השביעי עולה לו מן המנין בין מלפניו בין מלאחריו וראה הכהן ,והסגירו הכהן שבעת ימים וראהו הכהן ביום השביעי אם פשה תפשה ,27,11,585,584.0,678,676.0,0.6917293233082706,0.65,5,והסגירו הכהן שבעת ימים הכהן,4090000546,27,11
ref-sifra.7.2-2*.4.24-ref-sifra.7.2-2*.4.31,ref-bible.0103.13.31.17-ref-bible.103.13.32.6,327755,327803,ref-sifra.7.2-2*.4.24,ref-sifra.7.2-2*.4.31,216125,216195,ref-bible.0103.13.31.17,ref-bible.0103.13.32.6,והסגירו הכהן שבעת ימים שנית מלמד שיום השביעי ,והסגיר הכהן את נגע הנתק שבעת ימים וראה הכהן את הנגע ביום השביעי ,8,13,600,589.0,681,676.0,0.453125,0.6428571428571428,4,הכהן שבעת ימים השביעי,4090000547,8,13
ref-sifra.7.2-2*.4.22-ref-sifra.7.2-2*.4.31,ref-bible.0103.13.33.4-ref-bible.103.13.34.6,327748,327803,ref-sifra.7.2-2*.4.22,ref-sifra.7.2-2*.4.31,216284,216363,ref-bible.0103.13.33.4,ref-bible.0103.13.34.6,לא פשה והסגירו הכהן שבעת ימים שנית מלמד שיום השביעי ,לא יגלח והסגיר הכהן את הנתק שבעת ימים שנית וראה הכהן את הנתק ביום השביעי ,10,15,604,604.0,679,676.0,0.4246575342465753,0.5714285714285714,6,לא הכהן שבעת ימים שנית השביעי,4090000548,10,15
ref-sifra.7.2-2*.4.43-ref-sifra.7.2-2*.5.1,ref-bible.0103.13.54.9-ref-bible.103.13.55.7,327862,327941,ref-sifra.7.2-2*.4.43,ref-sifra.7.2-2*.5.1,217805,217856,ref-bible.0103.13.54.9,ref-bible.0103.13.55.7,ביום השביעי שנית כהן שרואהו בראשונה רואהו בשניה ואם מת רואהו כהן אחר והנה ,שבעת ימים שנית וראה הכהן אחרי הכבס את הנגע והנה ,14,10,678,669.0,682,676.0,0.6351351351351351,0.6666666666666667,2,שנית והנה,4090000549,14,10
ref-sifra.7.2-2*.8.26-ref-sifra.7.2-2*.9.3,ref-bible.0103.13.6.5-ref-bible.103.13.6.16,328412,328441,ref-sifra.7.2-2*.8.26,ref-sifra.7.2-2*.9.3,214293,214361,ref-bible.0103.13.6.5,ref-bible.0103.13.6.16,בשבוע שני וטהרו הכהן מספחת ,השביעי שנית והנה כהה הנגע ולא פשה הנגע בעור וטהרו הכהן מספחת ,5,12,558,553.0,683,683.0,0.5901639344262295,0.6363636363636364,3,וטהרו הכהן מספחת,4090000550,5,12
ref-sifra.7.2-2*.13.7-ref-sifra.7.2-2*.13.15,ref-bible.0103.13.7.6-ref-bible.0103.13.7.14,328961,329006,ref-sifra.7.2-2*.13.7,ref-sifra.7.2-2*.13.15,214412,214460,ref-bible.0103.13.7.6,ref-bible.0103.13.7.14,אחרי הראתו אל הכהן לטהרתו ונראה שנית אל הכהן,אחרי הראתו אל הכהן לטהרתו ונראה שנית אל הכהן,9,9,561,561.0,684,684.0,0.0,0.0,9,אחרי הראתו אל הכהן לטהרתו ונראה שנית אל הכהן,4090000551,9,9
